자치단체명,재정자립도[최종](개편후)(%)
서울본청,73.32 
서울종로구,41.75 
서울중구,54.35 
서울용산구,37.77 
서울성동구,32.53 
서울광진구,23.28 
서울동대문구,23.90 
서울중랑구,18.85 
서울성북구,19.98 
서울강북구,16.89 
서울도봉구,17.73 
서울노원구,15.59 
서울은평구,18.65 
서울서대문구,21.95 
서울마포구,29.75 
서울양천구,24.20 
서울강서구,20.30 
서울구로구,22.25 
서울금천구,23.92 
서울영등포구,37.62 
서울동작구,24.38 
서울관악구,18.46 
서울서초구,48.58 
서울강남구,55.42 
서울송파구,39.09 
서울강동구,25.79 
부산본청,45.70 
부산중구,17.04 
부산서구,9.66 
부산동구,13.69 
부산영도구,8.64 
부산부산진구,19.56 
부산동래구,17.60 
부산남구,18.91 
부산북구,13.26 
부산해운대구,24.69 
부산사하구,16.43 
부산금정구,17.07 
부산강서구,38.68 
부산연제구,16.52 
부산수영구,15.72 
부산사상구,18.51 
부산기장군,31.82 
대구본청,45.76 
대구중구,22.92 
대구동구,16.72 
대구서구,14.13 
대구남구,8.37 
대구북구,18.92 
대구수성구,24.13 
대구달서구,22.43 
대구달성군,22.76 
인천본청,60.91 
인천중구,38.95 
인천동구,11.96 
인천남구,18.03 
인천연수구,32.15 
인천남동구,25.53 
인천부평구,19.88 
인천계양구,18.72 
인천서구,32.26 
인천강화군,10.02 
인천옹진군,9.25 
광주본청,39.97 
광주동구,11.84 
광주서구,18.44 
광주남구,11.27 
광주북구,12.95 
광주광산구,20.09 
대전본청,42.14 
대전동구,12.37 
대전중구,14.26 
대전서구,18.30 
대전유성구,28.40 
대전대덕구,16.37 
울산본청,54.08 
울산중구,15.67 
울산남구,31.05 
울산동구,24.85 
울산북구,26.36 
울산울주군,31.85 
세종본청,38.70 
경기본청,50.53 
경기수원시,45.91 
경기성남시,52.22 
경기고양시,40.33 
경기용인시,50.26 
경기부천시,32.25 
경기안산시,60.58 
경기안양시,41.78 
경기남양주시,35.20 
경기화성시,53.67 
경기평택시,37.49 
경기의정부시,28.55 
경기시흥시,44.91 
경기파주시,37.20 
경기광명시,33.24 
경기김포시,38.96 
경기군포시,34.04 
경기광주시,38.90 
경기이천시,38.43 
경기양주시,30.20 
경기오산시,28.47 
경기구리시,28.83 
경기안성시,32.27 
경기포천시,24.47 
경기의왕시,36.23 
경기하남시,42.43 
경기여주시,27.17 
경기동두천시,13.35 
경기과천시,35.26 
경기양평군,19.52 
경기가평군,20.33 
경기연천군,17.74 
강원본청,18.15 
강원춘천시,23.95 
강원원주시,27.86 
강원강릉시,15.69 
강원동해시,19.26 
강원태백시,33.89 
강원속초시,19.36 
강원삼척시,16.67 
강원홍천군,13.13 
강원횡성군,11.80 
강원영월군,15.06 
강원평창군,11.49 
강원정선군,23.71 
강원철원군,7.13 
강원화천군,7.95 
강원양구군,8.21 
강원인제군,7.35 
강원고성군,8.91 
강원양양군,9.29 
충북본청,21.70 
충북청주시,29.30 
충북충주시,18.94 
충북제천시,15.13 
충북보은군,7.36 
충북옥천군,10.44 
충북영동군,7.87 
충북증평군,15.19 
충북진천군,27.47 
충북괴산군,8.79 
충북음성군,22.49 
충북단양군,11.65 
충남본청,28.25 
충남천안시,37.05 
충남공주시,13.15 
충남보령시,14.58 
충남아산시,37.14 
충남서산시,27.29 
충남논산시,11.44 
충남계룡시,13.82 
충남당진시,27.54 
충남금산군,14.36 
충남부여군,8.40 
충남서천군,9.67 
충남청양군,9.99 
충남홍성군,14.13 
충남예산군,12.53 
충남태안군,15.13 
전북본청,18.06 
전북전주시,28.00 
전북군산시,23.58 
전북익산시,18.33 
전북정읍시,9.43 
전북남원시,9.03 
전북김제시,10.20 
전북완주군,25.87 
전북진안군,6.33 
전북무주군,8.24 
전북장수군,6.19 
전북임실군,6.75 
전북순창군,8.46 
전북고창군,6.09 
전북부안군,7.07 
전남본청,14.88 
전남목포시,19.72 
전남여수시,30.51 
전남순천시,18.59 
전남나주시,15.32 
전남광양시,29.32 
전남담양군,12.42 
전남곡성군,7.98 
전남구례군,7.82 
전남고흥군,5.17 
전남보성군,7.30 
전남화순군,17.06 
전남장흥군,6.35 
전남강진군,7.66 
전남해남군,7.12 
전남영암군,13.77 
전남무안군,11.59 
전남함평군,7.22 
전남영광군,8.42 
전남장성군,8.60 
전남완도군,6.84 
전남진도군,4.57 
전남신안군,5.26 
경북본청,21.22 
경북포항시,29.56 
경북경주시,23.58 
경북김천시,12.22 
경북안동시,12.74 
경북구미시,36.44 
경북영주시,12.03 
경북영천시,14.91 
경북상주시,9.10 
경북문경시,12.94 
경북경산시,25.71 
경북군위군,7.31 
경북의성군,6.66 
경북청송군,6.29 
경북영양군,4.83 
경북영덕군,9.18 
경북청도군,8.17 
경북고령군,8.91 
경북성주군,12.28 
경북칠곡군,24.49 
경북예천군,6.45 
경북봉화군,7.35 
경북울진군,13.92 
경북울릉군,11.59 
경남본청,32.74 
경남창원시,36.50 
경남진주시,19.34 
경남통영시,16.26 
경남사천시,15.94 
경남김해시,34.17 
경남밀양시,14.71 
경남거제시,30.81 
경남양산시,32.64 
경남의령군,7.58 
경남함안군,22.21 
경남창녕군,12.25 
경남고성군,11.30 
경남남해군,7.22 
경남하동군,7.63 
경남산청군,8.46 
경남함양군,7.65 
경남거창군,7.39 
경남합천군,9.61 
제주본청,33.68 
