"회계연도","지역명","자치단체코드","자치단체명","자체수입(개편전)","자치단체 예산규모","자체수입(개편후)","재정자립도[최종](개편전)(%)","재정자립도[최종](개편후)(%)"
"2013","서울","1100000","서울본청","12459246278000","14737990803000","","84.54",""
"2013","서울","1111000","서울종로구","166725902000","280768014000","","59.38",""
"2013","서울","1112000","서울중구","193909326000","287648680000","","67.41",""
"2013","서울","1113000","서울용산구","136716175000","264652873000","","51.66",""
"2013","서울","1114000","서울성동구","139144391000","333748208000","","41.69",""
"2013","서울","1115000","서울광진구","109868297000","323773292000","","33.93",""
"2013","서울","1116000","서울동대문구","117543929000","371173112000","","31.67",""
"2013","서울","1117000","서울중랑구","105048016000","376182978000","","27.92",""
"2013","서울","1118000","서울성북구","118662327000","430496705000","","27.56",""
"2013","서울","1119000","서울강북구","90569033000","368184943000","","24.60",""
"2013","서울","1120000","서울도봉구","86413777000","336670831000","","25.67",""
"2013","서울","1121000","서울노원구","110769206000","556264261000","","19.91",""
"2013","서울","1122000","서울은평구","116312469000","429412619000","","27.09",""
"2013","서울","1123000","서울서대문구","126247180000","335050412000","","37.68",""
"2013","서울","1124000","서울마포구","153479329000","366834834000","","41.84",""
"2013","서울","1125000","서울양천구","135252803000","392272070000","","34.48",""
"2013","서울","1126000","서울강서구","142459679000","503489269000","","28.29",""
"2013","서울","1127000","서울구로구","116946209000","397986985000","","29.38",""
"2013","서울","1128000","서울금천구","106781268000","303096104000","","35.23",""
"2013","서울","1129000","서울영등포구","179351771000","398578976000","","45.00",""
"2013","서울","1130000","서울동작구","131646579000","348798734000","","37.74",""
"2013","서울","1131000","서울관악구","123626621000","413225314000","","29.92",""
"2013","서울","1132000","서울서초구","261576299000","377849592000","","69.23",""
"2013","서울","1133000","서울강남구","402951979000","560745647000","","71.86",""
"2013","서울","1134000","서울송파구","230212310000","467578715000","","49.23",""
"2013","서울","1135000","서울강동구","136044041000","390490610000","","34.84",""
"2013","부산","2600000","부산본청","3317296149000","6716106200000","","49.39",""
"2013","부산","2611000","부산중구","36122564000","118418137000","","30.50",""
"2013","부산","2612000","부산서구","30477353000","186341034000","","16.36",""
"2013","부산","2613000","부산동구","38540076000","173833655000","","22.17",""
"2013","부산","2614000","부산영도구","30392638000","183699207000","","16.54",""
"2013","부산","2615000","부산부산진구","102539442000","347393496000","","29.52",""
"2013","부산","2616000","부산동래구","61096959000","230081427000","","26.55",""
"2013","부산","2617000","부산남구","62623483000","257730431000","","24.30",""
"2013","부산","2618000","부산북구","55590988000","290997214000","","19.10",""
"2013","부산","2619000","부산해운대구","129822745000","380022018000","","34.16",""
"2013","부산","2620000","부산사하구","73711818000","331740077000","","22.22",""
"2013","부산","2621000","부산금정구","70151834000","258065694000","","27.18",""
"2013","부산","2622000","부산강서구","114337076000","216589827000","","52.79",""
"2013","부산","2623000","부산연제구","72035896000","221638989000","","32.50",""
"2013","부산","2624000","부산수영구","48964867000","174676149000","","28.03",""
"2013","부산","2625000","부산사상구","71106616000","257866358000","","27.57",""
"2013","부산","2671000","부산기장군","118805000000","324969685000","","36.56",""
"2013","대구","2700000","대구본청","2044054522000","4668261000000","","43.79",""
"2013","대구","2711000","대구중구","53158225000","153400000000","","34.65",""
"2013","대구","2712000","대구동구","87289397000","382570000000","","22.82",""
"2013","대구","2713000","대구서구","44425880000","215660000000","","20.60",""
"2013","대구","2714000","대구남구","39169356000","200700000000","","19.52",""
"2013","대구","2715000","대구북구","94784782000","397000000000","","23.88",""
"2013","대구","2716000","대구수성구","117559688000","380600000000","","30.89",""
"2013","대구","2717000","대구달서구","138056056000","463562000000","","29.78",""
"2013","대구","2771000","대구달성군","156233179000","450600000000","","34.67",""
"2013","인천","2800000","인천본청","3068149799000","5403353965000","","56.78",""
"2013","인천","2811000","인천중구","151579611000","255852119000","","59.25",""
"2013","인천","2812000","인천동구","36595834000","150849836000","","24.26",""
"2013","인천","2813000","인천남구","94381001000","372756206000","","25.32",""
"2013","인천","2814000","인천연수구","117452547000","290933318000","","40.37",""
"2013","인천","2815000","인천남동구","176289814000","457416256000","","38.54",""
"2013","인천","2816000","인천부평구","120933205000","496144063000","","24.37",""
"2013","인천","2817000","인천계양구","70946349000","293162600000","","24.20",""
"2013","인천","2818000","인천서구","198654615000","463215146000","","42.89",""
"2013","인천","2871000","인천강화군","56063179000","394941724000","","14.20",""
"2013","인천","2872000","인천옹진군","57743695000","248803473000","","23.21",""
"2013","광주","2900000","광주본청","1146357433000","3070449686000","","37.34",""
"2013","광주","2911000","광주동구","43870215000","196329703000","","22.35",""
"2013","광주","2912000","광주서구","94458174000","323607403000","","29.19",""
"2013","광주","2913000","광주남구","55254390000","271860761000","","20.32",""
"2013","광주","2914000","광주북구","90796571000","436209266000","","20.81",""
"2013","광주","2915000","광주광산구","116747625000","422290024000","","27.65",""
"2013","대전","3000000","대전본청","1234554135000","2729460000000","","45.23",""
"2013","대전","3011000","대전동구","53665457000","319187136000","","16.81",""
"2013","대전","3012000","대전중구","57647836000","299024739000","","19.28",""
"2013","대전","3013000","대전서구","112243948000","429455487000","","26.14",""
"2013","대전","3014000","대전유성구","128209740000","339055620000","","37.81",""
"2013","대전","3015000","대전대덕구","58727320000","277290000000","","21.18",""
"2013","울산","3100000","울산본청","1224988139000","1979808904000","","61.87",""
"2013","울산","3111000","울산중구","58552841000","239120831000","","24.49",""
"2013","울산","3112000","울산남구","153295526000","329346120000","","46.55",""
"2013","울산","3113000","울산동구","73897036000","207581876000","","35.60",""
"2013","울산","3114000","울산북구","81451298000","219020187000","","37.19",""
"2013","울산","3171000","울산울주군","260474641000","540069641000","","48.23",""
"2013","세종","3200000","세종본청","228478395000","502541450000","","45.46",""
"2013","경기","4100000","경기본청","6591116273000","11742797087000","","56.13",""
"2013","경기","4111000","경기수원시","876034197000","1528173737000","","57.33",""
"2013","경기","4112000","경기성남시","1057980916000","1575177012000","","67.17",""
"2013","경기","4120000","경기고양시","643577977000","1163130929000","","55.33",""
"2013","경기","4129000","경기용인시","857996023000","1417768893000","","60.52",""
"2013","경기","4115000","경기부천시","446415699000","939858697000","","47.50",""
"2013","경기","4119000","경기안산시","645872602000","1166261888000","","55.38",""
"2013","경기","4114000","경기안양시","401665385000","772942688000","","51.97",""
"2013","경기","4123000","경기남양주시","320156267000","790420909000","","40.50",""
"2013","경기","4134000","경기화성시","748237301000","1172709343000","","63.80",""
"2013","경기","4117000","경기평택시","417497411000","863467677000","","48.35",""
"2013","경기","4113000","경기의정부시","195026997000","583706352000","","33.41",""
"2013","경기","4125000","경기시흥시","324575114000","612907094000","","52.96",""
"2013","경기","4130000","경기파주시","312646854000","715025259000","","43.73",""
"2013","경기","4116000","경기광명시","222174628000","475176297000","","46.76",""
"2013","경기","4133000","경기김포시","285684264000","589489770000","","48.46",""
"2013","경기","4126000","경기군포시","169531199000","369031806000","","45.94",""
"2013","경기","4135000","경기광주시","241612928000","501295628000","","48.20",""
"2013","경기","4131000","경기이천시","229057900000","565179829000","","40.53",""
"2013","경기","4136000","경기양주시","146328252000","460924899000","","31.75",""
"2013","경기","4124000","경기오산시","173342695000","343257683000","","50.50",""
"2013","경기","4122000","경기구리시","144161759000","320145915000","","45.03",""
"2013","경기","4132000","경기안성시","197501800000","516816985000","","38.22",""
"2013","경기","4137000","경기포천시","156968866000","513539727000","","30.57",""
"2013","경기","4127000","경기의왕시","119816585000","265040702000","","45.21",""
"2013","경기","4128000","경기하남시","156575216000","328306984000","","47.69",""
"2013","경기","4118000","경기동두천시","60800928000","290298816000","","20.94",""
"2013","경기","4121000","경기과천시","93068169000","197354715000","","47.16",""
"2013","경기","4178000","경기양평군","80041170000","387593877000","","20.65",""
"2013","경기","4177000","경기가평군","84341958000","319579644000","","26.39",""
"2013","경기","4175000","경기연천군","76268371000","372772561000","","20.46",""
"2013","강원","4200000","강원본청","799623378000","3700737539000","","21.61",""
"2013","강원","4211000","강원춘천시","197797389000","735495347000","","26.89",""
"2013","강원","4212000","강원원주시","217051866000","794389209000","","27.32",""
"2013","강원","4213000","강원강릉시","141298112000","622040305000","","22.72",""
"2013","강원","4214000","강원동해시","61898754000","287402430000","","21.54",""
"2013","강원","4215000","강원태백시","75933826000","241641982000","","31.42",""
"2013","강원","4216000","강원속초시","62191957000","238312945000","","26.10",""
"2013","강원","4217000","강원삼척시","114294690000","473210240000","","24.15",""
"2013","강원","4271000","강원홍천군","89336710000","437500411000","","20.42",""
"2013","강원","4272000","강원횡성군","70505851000","309351940000","","22.79",""
"2013","강원","4273000","강원영월군","52634957000","308782525000","","17.05",""
"2013","강원","4274000","강원평창군","51426999000","328114701000","","15.67",""
"2013","강원","4275000","강원정선군","77317164000","325178877000","","23.78",""
"2013","강원","4276000","강원철원군","38924022000","301717813000","","12.90",""
"2013","강원","4277000","강원화천군","27835363000","236708259000","","11.76",""
"2013","강원","4278000","강원양구군","43365274000","235251041000","","18.43",""
"2013","강원","4279000","강원인제군","43961339000","295774351000","","14.86",""
"2013","강원","4280000","강원고성군","39555496000","264655029000","","14.95",""
"2013","강원","4281000","강원양양군","25591546000","219107735000","","11.68",""
"2013","충북","4300000","충북본청","877690534000","3046439983000","","28.81",""
"2013","충북","4311000","충북청주시","362903168000","1016147629000","","35.71",""
"2013","충북","4312000","충북충주시","163233056000","677764877000","","24.08",""
"2013","충북","4313000","충북제천시","105973382000","500092620000","","21.19",""
"2013","충북","4371000","충북청원군","221642736000","593913886000","","37.32",""
"2013","충북","4372000","충북보은군","37239315000","273106425000","","13.64",""
"2013","충북","4373000","충북옥천군","51303949000","301718416000","","17.00",""
"2013","충북","4374000","충북영동군","68716662000","340550736000","","20.18",""
"2013","충북","4379000","충북증평군","31107614000","167121217000","","18.61",""
"2013","충북","4375000","충북진천군","87046600000","292887452000","","29.72",""
"2013","충북","4376000","충북괴산군","50000656000","328363850000","","15.23",""
"2013","충북","4377000","충북음성군","112614601000","381035050000","","29.55",""
"2013","충북","4378000","충북단양군","49969823000","264025323000","","18.93",""
"2013","충남","4400000","충남본청","1215810992000","3960996616000","","30.69",""
"2013","충남","4411000","충남천안시","481446439000","1039500000000","","46.32",""
"2013","충남","4412000","충남공주시","96442134000","512400000000","","18.82",""
"2013","충남","4413000","충남보령시","106184266000","475788102000","","22.32",""
"2013","충남","4414000","충남아산시","374831342000","774300000000","","48.41",""
"2013","충남","4415000","충남서산시","160938833000","555508919000","","28.97",""
"2013","충남","4416000","충남논산시","84106167000","493109159000","","17.06",""
"2013","충남","4417000","충남계룡시","38222131000","132392157000","","28.87",""
"2013","충남","4418000","충남당진시","181245294000","575902023000","","31.47",""
"2013","충남","4471000","충남금산군","61092504000","314721648000","","19.41",""
"2013","충남","4473000","충남부여군","58342884000","440300000000","","13.25",""
"2013","충남","4474000","충남서천군","47827841000","353260000000","","13.54",""
"2013","충남","4475000","충남청양군","50429019000","281425389000","","17.92",""
"2013","충남","4476000","충남홍성군","79377847000","404227933000","","19.64",""
"2013","충남","4477000","충남예산군","64293142000","417467063000","","15.40",""
