자치단체명,재정자립도[최종](개편후)(%)
서울본청,72.46 
서울종로구,41.62 
서울중구,49.36 
서울용산구,37.13 
서울성동구,29.97 
서울광진구,23.13 
서울동대문구,23.82 
서울중랑구,17.50 
서울성북구,19.02 
서울강북구,16.37 
서울도봉구,17.31 
서울노원구,15.73 
서울은평구,15.68 
서울서대문구,21.14 
서울마포구,30.20 
서울양천구,24.36 
서울강서구,18.58 
서울구로구,22.96 
서울금천구,22.35 
서울영등포구,35.70 
서울동작구,23.98 
서울관악구,17.36 
서울서초구,50.24 
서울강남구,53.18 
서울송파구,38.25 
서울강동구,24.88 
부산본청,48.01 
부산중구,18.49 
부산서구,8.97 
부산동구,13.39 
부산영도구,8.73 
부산부산진구,20.71 
부산동래구,17.13 
부산남구,16.58 
부산북구,12.63 
부산해운대구,25.67 
부산사하구,17.90 
부산금정구,16.55 
부산강서구,40.60 
부산연제구,16.87 
부산수영구,17.08 
부산사상구,18.77 
부산기장군,31.52 
대구본청,47.02 
대구중구,21.98 
대구동구,16.86 
대구서구,12.32 
대구남구,8.54 
대구북구,18.92 
대구수성구,25.94 
대구달서구,22.71 
대구달성군,22.33 
인천본청,59.22 
인천중구,36.42 
인천동구,9.86 
인천남구,17.16 
인천연수구,29.50 
인천남동구,24.51 
인천부평구,19.35 
인천계양구,17.43 
인천서구,32.33 
인천강화군,9.90 
인천옹진군,9.26 
광주본청,39.63 
광주동구,12.70 
광주서구,18.88 
광주남구,11.72 
광주북구,13.52 
광주광산구,20.19 
대전본청,42.69 
대전동구,11.14 
대전중구,14.05 
대전서구,17.66 
대전유성구,27.99 
대전대덕구,15.41 
울산본청,54.56 
울산중구,16.27 
울산남구,29.88 
울산동구,21.50 
울산북구,28.32 
울산울주군,36.54 
세종본청,51.99 
경기본청,50.65 
경기수원시,50.92 
경기성남시,52.86 
경기고양시,38.07 
경기용인시,54.04 
경기부천시,37.66 
경기안산시,41.82 
경기안양시,39.91 
경기남양주시,33.27 
경기화성시,55.13 
경기평택시,38.84 
경기의정부시,27.68 
경기시흥시,42.22 
경기파주시,33.94 
경기광명시,33.76 
경기김포시,37.60 
경기군포시,32.48 
경기광주시,38.68 
경기이천시,32.36 
경기양주시,29.49 
경기오산시,28.13 
경기구리시,35.72 
경기안성시,29.34 
경기포천시,21.42 
경기의왕시,39.09 
경기하남시,38.39 
경기여주시,23.90 
경기동두천시,12.56 
경기과천시,36.54 
경기양평군,18.14 
경기가평군,18.36 
경기연천군,16.30 
강원본청,21.27 
강원춘천시,23.90 
강원원주시,25.92 
강원강릉시,17.19 
강원동해시,18.61 
강원태백시,19.53 
강원속초시,16.47 
강원삼척시,15.63 
강원홍천군,11.57 
강원횡성군,9.40 
강원영월군,12.04 
강원평창군,10.15 
강원정선군,22.26 
강원철원군,7.78 
강원화천군,7.59 
강원양구군,7.11 
강원인제군,7.95 
강원고성군,8.60 
강원양양군,13.80 
충북본청,23.33 
충북청주시,31.26 
충북충주시,17.19 
충북제천시,14.26 
충북보은군,6.96 
충북옥천군,9.92 
충북영동군,7.06 
충북증평군,13.35 
충북진천군,24.73 
충북괴산군,5.55 
충북음성군,21.90 
충북단양군,9.79 
충남본청,30.62 
충남천안시,37.68 
충남공주시,13.18 
충남보령시,15.58 
충남아산시,41.40 
충남서산시,28.23 
충남논산시,11.13 
충남계룡시,15.31 
충남당진시,28.51 
충남금산군,12.60 
충남부여군,9.28 
충남서천군,9.01 
충남청양군,9.06 
충남홍성군,13.51 
충남예산군,11.23 
충남태안군,15.19 
전북본청,18.94 
전북전주시,27.53 
전북군산시,22.89 
전북익산시,15.95 
전북정읍시,8.37 
전북남원시,8.69 
전북김제시,9.15 
전북완주군,23.31 
전북진안군,5.63 
전북무주군,7.20 
전북장수군,5.33 
전북임실군,7.88 
전북순창군,7.53 
전북고창군,5.50 
전북부안군,7.64 
전남본청,15.83 
전남목포시,20.00 
전남여수시,30.07 
전남순천시,18.17 
전남나주시,19.84 
전남광양시,27.40 
전남담양군,10.21 
전남곡성군,6.61 
전남구례군,7.74 
전남고흥군,5.23 
전남보성군,6.59 
전남화순군,16.68 
전남장흥군,6.35 
전남강진군,6.86 
전남해남군,6.34 
전남영암군,12.44 
전남무안군,11.01 
전남함평군,7.11 
전남영광군,11.02 
전남장성군,8.75 
전남완도군,7.05 
전남진도군,6.53 
전남신안군,4.09 
경북본청,22.43 
경북포항시,27.50 
경북경주시,23.65 
경북김천시,11.38 
경북안동시,11.34 
경북구미시,41.85 
경북영주시,10.44 
경북영천시,14.80 
경북상주시,6.89 
경북문경시,11.26 
경북경산시,26.22 
경북군위군,5.59 
경북의성군,7.25 
경북청송군,6.89 
경북영양군,3.62 
경북영덕군,7.70 
경북청도군,7.50 
경북고령군,9.43 
경북성주군,10.20 
경북칠곡군,23.18 
경북예천군,6.56 
경북봉화군,6.18 
경북울진군,15.84 
경북울릉군,10.29 
경남본청,34.70 
경남창원시,36.62 
경남진주시,19.21 
경남통영시,15.39 
경남사천시,15.00 
경남김해시,32.82 
경남밀양시,13.68 
경남거제시,28.70 
경남양산시,31.97 
경남의령군,7.27 
경남함안군,17.22 
경남창녕군,12.43 
경남고성군,9.34 
경남남해군,6.24 
경남하동군,8.52 
경남산청군,7.20 
경남함양군,5.61 
경남거창군,6.54 
경남합천군,6.95 
제주본청,35.03 
