자치단체명,재정자립도[최종](개편후)(%)
서울본청,71.25 
서울종로구,37.47 
서울중구,47.12 
서울용산구,33.37 
서울성동구,27.68 
서울광진구,22.03 
서울동대문구,20.63 
서울중랑구,15.18 
서울성북구,16.97 
서울강북구,15.28 
서울도봉구,15.27 
서울노원구,13.15 
서울은평구,15.26 
서울서대문구,19.46 
서울마포구,27.15 
서울양천구,20.61 
서울강서구,17.53 
서울구로구,19.29 
서울금천구,20.98 
서울영등포구,30.41 
서울동작구,22.44 
서울관악구,16.43 
서울서초구,49.84 
서울강남구,48.39 
서울송파구,33.87 
서울강동구,19.46 
부산본청,43.92 
부산중구,18.07 
부산서구,9.88 
부산동구,13.33 
부산영도구,9.66 
부산부산진구,19.21 
부산동래구,17.83 
부산남구,18.41 
부산북구,11.70 
부산해운대구,24.77 
부산사하구,15.19 
부산금정구,15.11 
부산강서구,37.78 
부산연제구,14.99 
부산수영구,17.03 
부산사상구,17.31 
부산기장군,27.53 
대구본청,40.96 
대구중구,20.07 
대구동구,16.98 
대구서구,12.03 
대구남구,8.97 
대구북구,16.86 
대구수성구,27.61 
대구달서구,20.94 
대구달성군,25.04 
인천본청,54.82 
인천중구,38.70 
인천동구,8.94 
인천미추홀구,15.07 
인천연수구,29.25 
인천남동구,20.37 
인천부평구,17.65 
인천계양구,15.49 
인천서구,29.38 
인천강화군,10.54 
인천옹진군,7.42 
광주본청,37.19 
광주동구,11.14 
광주서구,16.55 
광주남구,11.12 
광주북구,13.30 
광주광산구,17.31 
대전본청,38.51 
대전동구,10.85 
대전중구,12.15 
대전서구,16.22 
대전유성구,25.45 
대전대덕구,13.11 
울산본청,47.96 
울산중구,14.54 
울산남구,27.90 
울산동구,17.88 
울산북구,23.97 
울산울주군,33.82 
세종본청,55.98 
경기본청,49.04 
경기수원시,48.16 
경기성남시,52.99 
경기고양시,31.25 
경기용인시,53.29 
경기부천시,30.26 
경기안산시,33.93 
경기안양시,36.74 
경기남양주시,27.63 
경기화성시,58.68 
경기평택시,41.14 
경기의정부시,36.04 
경기시흥시,35.98 
경기파주시,23.52 
경기광명시,29.89 
경기김포시,31.95 
경기군포시,27.88 
경기광주시,32.16 
경기이천시,48.14 
경기양주시,25.64 
경기오산시,28.42 
경기구리시,26.01 
경기안성시,27.39 
경기포천시,15.45 
경기의왕시,34.45 
경기하남시,38.52 
경기여주시,20.00 
경기동두천시,11.85 
경기과천시,31.17 
경기양평군,14.33 
경기가평군,14.98 
경기연천군,12.63 
강원본청,22.41 
강원춘천시,20.00 
강원원주시,22.21 
강원강릉시,14.09 
강원동해시,14.40 
강원태백시,14.56 
강원속초시,15.02 
강원삼척시,10.63 
강원홍천군,10.17 
강원횡성군,9.12 
강원영월군,11.84 
강원평창군,9.92 
강원정선군,17.13 
강원철원군,7.16 
강원화천군,6.77 
강원양구군,5.73 
강원인제군,6.57 
강원고성군,7.10 
강원양양군,8.38 
충북본청,25.07 
충북청주시,30.72 
충북충주시,15.49 
충북제천시,12.15 
충북보은군,6.79 
충북옥천군,9.35 
충북영동군,5.86 
충북증평군,12.16 
충북진천군,22.49 
충북괴산군,7.20 
충북음성군,20.77 
충북단양군,8.82 
충남본청,29.09 
충남천안시,32.89 
충남공주시,11.27 
충남보령시,13.34 
충남아산시,33.95 
충남서산시,22.90 
충남논산시,10.32 
충남계룡시,9.62 
충남당진시,23.43 
충남금산군,10.77 
충남부여군,6.09 
충남서천군,8.01 
충남청양군,8.60 
충남홍성군,11.45 
충남예산군,12.42 
충남태안군,13.04 
전북본청,19.07 
전북전주시,25.40 
전북군산시,17.41 
전북익산시,14.50 
전북정읍시,7.64 
전북남원시,7.75 
전북김제시,7.90 
전북완주군,18.45 
전북진안군,5.56 
전북무주군,7.19 
전북장수군,5.05 
전북임실군,6.41 
전북순창군,5.74 
전북고창군,5.31 
전북부안군,7.02 
전남본청,16.22 
전남목포시,13.64 
전남여수시,25.74 
전남순천시,16.87 
전남나주시,15.02 
전남광양시,26.39 
전남담양군,9.21 
전남곡성군,6.67 
전남구례군,5.79 
전남고흥군,5.05 
전남보성군,5.42 
전남화순군,14.73 
전남장흥군,6.25 
전남강진군,5.89 
전남해남군,6.28 
전남영암군,10.62 
전남무안군,9.11 
전남함평군,5.65 
전남영광군,9.59 
전남장성군,8.46 
전남완도군,5.63 
전남진도군,5.22 
전남신안군,4.53 
경북본청,22.79 
경북포항시,22.51 
경북경주시,18.32 
경북김천시,11.88 
경북안동시,9.10 
경북구미시,39.02 
경북영주시,8.81 
경북영천시,10.53 
경북상주시,5.93 
경북문경시,9.37 
경북경산시,24.97 
경북군위군,4.63 
경북의성군,6.50 
경북청송군,5.72 
경북영양군,3.13 
경북영덕군,5.58 
경북청도군,7.72 
경북고령군,10.17 
경북성주군,7.74 
경북칠곡군,19.91 
경북예천군,8.08 
경북봉화군,3.93 
경북울진군,8.12 
경북울릉군,7.11 
경남본청,31.10 
경남창원시,33.25 
경남진주시,16.57 
경남통영시,10.78 
경남사천시,15.68 
경남김해시,30.07 
경남밀양시,12.29 
경남거제시,21.05 
경남양산시,26.95 
경남의령군,7.42 
경남함안군,14.31 
경남창녕군,9.78 
경남고성군,8.91 
경남남해군,5.54 
경남하동군,7.29 
경남산청군,6.21 
경남함양군,5.12 
경남거창군,5.77 
경남합천군,5.88 
제주본청,32.10 
