"회계연도","지역명","자치단체코드","자치단체명","자체수입(개편전)","자치단체 예산규모","자체수입(개편후)","재정자립도[최종](개편전)(%)","재정자립도[최종](개편후)(%)"
"2010","서울","1100000","서울본청","11930215555000","14498649145000","","82.29",""
"2010","서울","1111000","서울종로구","178135904000","249022444000","","71.53",""
"2010","서울","1112000","서울중구","197988619000","258691287000","","76.53",""
"2010","서울","1113000","서울용산구","154771828000","257101596000","","60.20",""
"2010","서울","1114000","서울성동구","167373007000","329622891000","","50.78",""
"2010","서울","1115000","서울광진구","113366337000","274871913000","","41.24",""
"2010","서울","1116000","서울동대문구","135637213000","323035706000","","41.99",""
"2010","서울","1117000","서울중랑구","110971446000","355818939000","","31.19",""
"2010","서울","1118000","서울성북구","116757970000","365708949000","","31.93",""
"2010","서울","1119000","서울강북구","100759446000","314400122000","","32.05",""
"2010","서울","1120000","서울도봉구","91594072000","289308227000","","31.66",""
"2010","서울","1121000","서울노원구","106197417000","451519351000","","23.52",""
"2010","서울","1122000","서울은평구","113763383000","351700283000","","32.35",""
"2010","서울","1123000","서울서대문구","115933704000","301693455000","","38.43",""
"2010","서울","1124000","서울마포구","144650447000","313889885000","","46.08",""
"2010","서울","1125000","서울양천구","125182383000","324121709000","","38.62",""
"2010","서울","1126000","서울강서구","137656171000","403693913000","","34.10",""
"2010","서울","1127000","서울구로구","116858778000","320915927000","","36.41",""
"2010","서울","1128000","서울금천구","104157556000","268614788000","","38.78",""
"2010","서울","1129000","서울영등포구","206781897000","345680991000","","59.82",""
"2010","서울","1130000","서울동작구","137350314000","306839449000","","44.76",""
"2010","서울","1131000","서울관악구","115971505000","344430437000","","33.67",""
"2010","서울","1132000","서울서초구","255948083000","332518392000","","76.97",""
"2010","서울","1133000","서울강남구","441857470000","580487467000","","76.12",""
"2010","서울","1134000","서울송파구","257133980000","387102234000","","66.43",""
"2010","서울","1135000","서울강동구","125269349000","308276789000","","40.64",""
"2010","부산","2600000","부산본청","3010064459000","5688724358000","","52.91",""
"2010","부산","2611000","부산중구","23578780000","85814773000","","27.48",""
"2010","부산","2612000","부산서구","26689825000","157315692000","","16.97",""
"2010","부산","2613000","부산동구","31298665000","142675410000","","21.94",""
"2010","부산","2614000","부산영도구","21806141000","153460148000","","14.21",""
"2010","부산","2615000","부산부산진구","61648627000","257307612000","","23.96",""
"2010","부산","2616000","부산동래구","38206882000","161314215000","","23.68",""
"2010","부산","2617000","부산남구","35184464000","186834800000","","18.83",""
"2010","부산","2618000","부산북구","35678467000","239109407000","","14.92",""
"2010","부산","2619000","부산해운대구","75441049000","288927282000","","26.11",""
"2010","부산","2620000","부산사하구","49509046000","249667276000","","19.83",""
"2010","부산","2621000","부산금정구","48560715000","204482313000","","23.75",""
"2010","부산","2622000","부산강서구","57229032000","140981560000","","40.59",""
"2010","부산","2623000","부산연제구","32435425000","153248621000","","21.17",""
"2010","부산","2624000","부산수영구","32093507000","132743582000","","24.18",""
"2010","부산","2625000","부산사상구","49862180000","217696639000","","22.90",""
"2010","부산","2671000","부산기장군","93695530000","241726391000","","38.76",""
"2010","대구","2700000","대구본청","1732829883000","3474063000000","","49.88",""
