자치단체명,재정자립도[최종](개편후)(%)
서울본청,63.32 
서울종로구,32.95 
서울중구,39.76 
서울용산구,28.60 
서울성동구,22.65 
서울광진구,21.20 
서울동대문구,16.15 
서울중랑구,12.64 
서울성북구,13.12 
서울강북구,12.14 
서울도봉구,12.57 
서울노원구,11.04 
서울은평구,12.78 
서울서대문구,16.22 
서울마포구,21.73 
서울양천구,16.91 
서울강서구,14.99 
서울구로구,14.37 
서울금천구,16.73 
서울영등포구,24.11 
서울동작구,16.96 
서울관악구,12.53 
서울서초구,40.17 
서울강남구,36.17 
서울송파구,26.51 
서울강동구,16.71 
부산본청,39.63 
부산중구,17.97 
부산서구,9.18 
부산동구,13.14 
부산영도구,8.16 
부산부산진구,15.28 
부산동래구,13.69 
부산남구,13.89 
부산북구,9.56 
부산해운대구,22.97 
부산사하구,12.12 
부산금정구,13.52 
부산강서구,32.37 
부산연제구,12.64 
부산수영구,14.59 
부산사상구,15.13 
부산기장군,27.77 
대구본청,35.52 
대구중구,21.12 
대구동구,12.94 
대구서구,11.23 
대구남구,7.71 
대구북구,12.97 
대구수성구,19.72 
대구달서구,15.20 
대구달성군,23.25 
인천본청,49.22 
인천중구,39.77 
인천동구,10.30 
인천미추홀구,12.36 
인천연수구,28.03 
인천남동구,19.91 
인천부평구,16.70 
인천계양구,15.16 
인천서구,26.94 
인천강화군,13.36 
인천옹진군,9.50 
광주본청,32.94 
광주동구,11.79 
광주서구,13.53 
광주남구,9.54 
광주북구,10.89 
광주광산구,14.92 
대전본청,35.16 
대전동구,10.05 
대전중구,10.81 
대전서구,13.73 
대전유성구,21.52 
대전대덕구,12.08 
울산본청,42.54 
울산중구,12.81 
울산남구,21.81 
울산동구,16.89 
울산북구,20.72 
울산울주군,31.52 
세종본청,49.84 
경기본청,40.06 
경기수원시,35.51 
경기성남시,45.39 
경기고양시,27.69 
경기용인시,39.48 
경기부천시,23.89 
경기안산시,30.74 
경기안양시,31.70 
경기남양주시,25.74 
경기화성시,43.07 
경기평택시,32.89 
경기의정부시,19.75 
경기시흥시,34.78 
경기파주시,24.24 
경기광명시,25.85 
경기김포시,28.32 
경기군포시,26.16 
경기광주시,29.77 
경기이천시,30.69 
경기양주시,22.64 
경기오산시,24.13 
경기구리시,25.31 
경기안성시,20.73 
경기포천시,19.58 
경기의왕시,33.23 
경기하남시,34.99 
경기여주시,19.42 
경기동두천시,12.61 
경기과천시,30.80 
경기양평군,15.56 
경기가평군,13.88 
경기연천군,11.24 
강원본청,22.90 
강원춘천시,17.36 
강원원주시,23.87 
강원강릉시,14.66 
강원동해시,16.33 
강원태백시,14.68 
강원속초시,15.10 
강원삼척시,12.72 
강원홍천군,10.48 
강원횡성군,8.72 
강원영월군,15.26 
강원평창군,10.37 
강원정선군,21.24 
강원철원군,6.34 
강원화천군,7.24 
강원양구군,7.79 
강원인제군,7.55 
강원고성군,7.82 
강원양양군,9.03 
충북본청,23.82 
충북청주시,26.94 
충북충주시,14.00 
충북제천시,10.24 
충북보은군,8.55 
충북옥천군,10.11 
충북영동군,7.22 
충북증평군,13.14 
충북진천군,23.99 
충북괴산군,7.14 
충북음성군,20.74 
충북단양군,9.73 
충남본청,27.13 
충남천안시,27.65 
충남공주시,11.73 
충남보령시,11.83 
충남아산시,27.15 
충남서산시,19.51 
충남논산시,10.25 
충남계룡시,15.55 
충남당진시,22.86 
충남금산군,9.54 
충남부여군,7.32 
충남서천군,8.80 
충남청양군,9.09 
충남홍성군,13.18 
충남예산군,10.22 
충남태안군,11.93 
전북본청,20.06 
전북전주시,21.64 
전북군산시,14.54 
전북익산시,14.00 
전북정읍시,8.78 
전북남원시,8.55 
전북김제시,9.52 
전북완주군,15.50 
전북진안군,8.01 
전북무주군,7.72 
전북장수군,7.62 
전북임실군,7.90 
전북순창군,8.78 
전북고창군,6.59 
전북부안군,8.63 
전남본청,20.02 
전남목포시,15.26 
전남여수시,23.97 
전남순천시,15.25 
전남나주시,14.85 
전남광양시,21.74 
전남담양군,9.26 
전남곡성군,8.23 
전남구례군,5.51 
전남고흥군,6.02 
전남보성군,6.26 
전남화순군,13.50 
전남장흥군,6.76 
전남강진군,6.71 
전남해남군,5.75 
전남영암군,11.37 
전남무안군,10.88 
전남함평군,6.97 
전남영광군,11.06 
전남장성군,9.87 
전남완도군,5.90 
전남진도군,5.72 
전남신안군,10.10 
경북본청,22.94 
경북포항시,20.84 
경북경주시,16.68 
경북김천시,11.12 
경북안동시,9.60 
경북구미시,32.08 
경북영주시,10.38 
경북영천시,11.57 
경북상주시,7.51 
경북문경시,10.26 
경북경산시,30.21 
경북군위군,7.05 
경북의성군,6.60 
경북청송군,6.75 
경북영양군,5.89 
경북영덕군,7.91 
경북청도군,8.34 
경북고령군,10.55 
경북성주군,12.00 
경북칠곡군,19.65 
경북예천군,9.57 
경북봉화군,5.21 
경북울진군,12.59 
경북울릉군,6.26 
경남본청,28.05 
경남창원시,26.63 
경남진주시,16.55 
경남통영시,10.80 
경남사천시,15.37 
경남김해시,27.48 
경남밀양시,13.76 
경남거제시,17.03 
경남양산시,25.08 
경남의령군,8.11 
경남함안군,15.22 
경남창녕군,10.36 
경남고성군,8.52 
경남남해군,7.31 
경남하동군,8.32 
경남산청군,8.13 
경남함양군,8.86 
경남거창군,7.71 
경남합천군,6.57 
제주본청,30.98 
