"회계연도","지역명","자치단체코드","자치단체명","자체수입(개편전)","자치단체 예산규모","자체수입(개편후)","재정자립도[최종](개편전)(%)","재정자립도[최종](개편후)(%)"
"2011","서울","1100000","서울본청","11345839423000","13574836999000","","83.58",""
"2011","서울","1111000","서울종로구","152798438000","229406344000","","66.61",""
"2011","서울","1112000","서울중구","173328216000","256642767000","","67.54",""
"2011","서울","1113000","서울용산구","153303128000","249500086000","","61.44",""
"2011","서울","1114000","서울성동구","155862360000","302387378000","","51.54",""
"2011","서울","1115000","서울광진구","111889005000","271695196000","","41.18",""
"2011","서울","1116000","서울동대문구","133408809000","311903946000","","42.77",""
"2011","서울","1117000","서울중랑구","101962284000","331733968000","","30.74",""
"2011","서울","1118000","서울성북구","120180548000","354151102000","","33.93",""
"2011","서울","1119000","서울강북구","91022504000","300547138000","","30.29",""
"2011","서울","1120000","서울도봉구","82815306000","268479766000","","30.85",""
"2011","서울","1121000","서울노원구","115820715000","448128940000","","25.85",""
"2011","서울","1122000","서울은평구","96137474000","344414524000","","27.91",""
"2011","서울","1123000","서울서대문구","99150943000","267419711000","","37.08",""
"2011","서울","1124000","서울마포구","138851292000","300222930000","","46.25",""
"2011","서울","1125000","서울양천구","126966102000","314187843000","","40.41",""
"2011","서울","1126000","서울강서구","129224146000","403335366000","","32.04",""
"2011","서울","1127000","서울구로구","114473743000","314117343000","","36.44",""
"2011","서울","1128000","서울금천구","99289159000","252983842000","","39.25",""
"2011","서울","1129000","서울영등포구","177282484000","313577909000","","56.54",""
"2011","서울","1130000","서울동작구","130903679000","289122325000","","45.28",""
"2011","서울","1131000","서울관악구","107655240000","330189132000","","32.60",""
"2011","서울","1132000","서울서초구","216884258000","282589786000","","76.75",""
"2011","서울","1133000","서울강남구","412362890000","514739201000","","80.11",""
"2011","서울","1134000","서울송파구","212610775000","373575591000","","56.91",""
"2011","서울","1135000","서울강동구","135767168000","312312304000","","43.47",""
"2011","부산","2600000","부산본청","2925639998000","5813620015000","","50.32",""
"2011","부산","2611000","부산중구","24100976000","99557444000","","24.21",""
"2011","부산","2612000","부산서구","26775498000","168768114000","","15.87",""
"2011","부산","2613000","부산동구","30363294000","151868874000","","19.99",""
"2011","부산","2614000","부산영도구","21320784000","169286488000","","12.59",""
"2011","부산","2615000","부산부산진구","78313560000","277179282000","","28.25",""
"2011","부산","2616000","부산동래구","49029675000","191758880000","","25.57",""
"2011","부산","2617000","부산남구","47411950000","220411761000","","21.51",""
"2011","부산","2618000","부산북구","38517261000","248410132000","","15.51",""
"2011","부산","2619000","부산해운대구","96985691000","306703731000","","31.62",""
"2011","부산","2620000","부산사하구","63304507000","284935722000","","22.22",""
"2011","부산","2621000","부산금정구","55840494000","233748543000","","23.89",""
"2011","부산","2622000","부산강서구","70631089000","159640905000","","44.24",""
"2011","부산","2623000","부산연제구","40538777000","171120353000","","23.69",""
"2011","부산","2624000","부산수영구","42022688000","150237421000","","27.97",""
"2011","부산","2625000","부산사상구","59260604000","222163995000","","26.67",""
"2011","부산","2671000","부산기장군","86022828000","254533920000","","33.80",""
"2011","대구","2700000","대구본청","1546163812000","3520023000000","","43.92",""
"2011","대구","2711000","대구중구","54646330000","140900000000","","38.78",""
"2011","대구","2712000","대구동구","65477900000","309355000000","","21.17",""
"2011","대구","2713000","대구서구","41123519000","184700000000","","22.27",""
"2011","대구","2714000","대구남구","36029668000","174100000000","","20.69",""
"2011","대구","2715000","대구북구","82276546000","317700000000","","25.90",""
"2011","대구","2716000","대구수성구","101539247000","302041000000","","33.62",""
"2011","대구","2717000","대구달서구","114301027000","370300000000","","30.87",""
"2011","대구","2771000","대구달성군","120790669000","346200000000","","34.89",""
"2011","인천","2800000","인천본청","2565750850000","3993557852000","","64.25",""
"2011","인천","2811000","인천중구","131136169000","221944323000","","59.09",""
"2011","인천","2812000","인천동구","41820661000","130565233000","","32.03",""
"2011","인천","2813000","인천남구","83456558000","305307328000","","27.34",""
"2011","인천","2814000","인천연수구","124245246000","262173684000","","47.39",""
"2011","인천","2815000","인천남동구","166721392000","384056630000","","43.41",""
"2011","인천","2816000","인천부평구","109238408000","397865234000","","27.46",""
"2011","인천","2817000","인천계양구","68512161000","242697309000","","28.23",""
"2011","인천","2818000","인천서구","162610383000","335769948000","","48.43",""
"2011","인천","2871000","인천강화군","47686987000","350373357000","","13.61",""
"2011","인천","2872000","인천옹진군","57112874000","256231662000","","22.29",""
"2011","광주","2900000","광주본청","1090964653000","2548359911000","","42.81",""
"2011","광주","2911000","광주동구","33041569000","158885547000","","20.80",""
"2011","광주","2912000","광주서구","75259159000","276412482000","","27.23",""
"2011","광주","2913000","광주남구","42762013000","228062119000","","18.75",""
"2011","광주","2914000","광주북구","75124975000","381854659000","","19.67",""
"2011","광주","2915000","광주광산구","87691591000","344891528000","","25.43",""
"2011","대전","3000000","대전본청","1145158345000","2310558000000","","49.56",""
"2011","대전","3011000","대전동구","60674482000","298974879000","","20.29",""
"2011","대전","3012000","대전중구","52188922000","246029901000","","21.21",""
"2011","대전","3013000","대전서구","93644237000","357094813000","","26.22",""
"2011","대전","3014000","대전유성구","96773663000","251367407000","","38.50",""
"2011","대전","3015000","대전대덕구","48686410000","234960000000","","20.72",""
"2011","울산","3100000","울산본청","1083680267000","1711677771000","","63.31",""
"2011","울산","3111000","울산중구","37520933000","173688501000","","21.60",""
"2011","울산","3112000","울산남구","120174583000","251349598000","","47.81",""
"2011","울산","3113000","울산동구","51842979000","136463940000","","37.99",""
"2011","울산","3114000","울산북구","71096121000","174126714000","","40.83",""
"2011","울산","3171000","울산울주군","200924202000","416403969000","","48.25",""
"2011","경기","4100000","경기본청","6153601478000","11006202129000","","55.91",""
"2011","경기","4111000","경기수원시","747036441000","1216856939000","","61.39",""
"2011","경기","4112000","경기성남시","918312607000","1348381040000","","68.10",""
"2011","경기","4120000","경기고양시","526659184000","1048884174000","","50.21",""
"2011","경기","4129000","경기용인시","823450074000","1336932689000","","61.59",""
"2011","경기","4115000","경기부천시","423770197000","829582785000","","51.08",""
"2011","경기","4119000","경기안산시","427111149000","858011642000","","49.78",""
"2011","경기","4114000","경기안양시","376786773000","654636502000","","57.56",""
"2011","경기","4123000","경기남양주시","274468384000","677597104000","","40.51",""
"2011","경기","4134000","경기화성시","501767499000","865797011000","","57.95",""
"2011","경기","4117000","경기평택시","390940919000","766720184000","","50.99",""
"2011","경기","4113000","경기의정부시","185914676000","494851625000","","37.57",""
"2011","경기","4125000","경기시흥시","295278853000","533756741000","","55.32",""
"2011","경기","4130000","경기파주시","282135260000","611717452000","","46.12",""
"2011","경기","4116000","경기광명시","213579187000","406229399000","","52.58",""
"2011","경기","4133000","경기김포시","247961392000","465932704000","","53.22",""
"2011","경기","4126000","경기군포시","169660435000","338409564000","","50.13",""
"2011","경기","4135000","경기광주시","247690810000","481355968000","","51.46",""
"2011","경기","4131000","경기이천시","216385362000","474644934000","","45.59",""
"2011","경기","4136000","경기양주시","177071238000","464223043000","","38.14",""
"2011","경기","4124000","경기오산시","122079647000","241968225000","","50.45",""
"2011","경기","4122000","경기구리시","121988389000","265662802000","","45.92",""
"2011","경기","4132000","경기안성시","182261230000","435677977000","","41.83",""
"2011","경기","4137000","경기포천시","130862368000","472762217000","","27.68",""
"2011","경기","4127000","경기의왕시","124482204000","241210184000","","51.61",""
"2011","경기","4128000","경기하남시","155020987000","320467978000","","48.37",""
"2011","경기","4118000","경기동두천시","54483063000","257039790000","","21.20",""
"2011","경기","4121000","경기과천시","101368258000","213911597000","","47.39",""
"2011","경기","4172000","경기여주군","130423547000","343873982000","","37.93",""
"2011","경기","4178000","경기양평군","71518803000","370908393000","","19.28",""
"2011","경기","4177000","경기가평군","78885968000","297566847000","","26.51",""
"2011","경기","4175000","경기연천군","70539701000","317859363000","","22.19",""
"2011","강원","4200000","강원본청","661921740000","3064984000000","","21.60",""
"2011","강원","4211000","강원춘천시","195019469000","634710058000","","30.73",""
"2011","강원","4212000","강원원주시","170719028000","596605289000","","28.62",""
"2011","강원","4213000","강원강릉시","124374326000","538021558000","","23.12",""
"2011","강원","4214000","강원동해시","52844250000","255073578000","","20.72",""
"2011","강원","4215000","강원태백시","71829405000","227698213000","","31.55",""
"2011","강원","4216000","강원속초시","50402572000","209462677000","","24.06",""
"2011","강원","4217000","강원삼척시","65397652000","383686330000","","17.04",""
"2011","강원","4271000","강원홍천군","67451080000","318358326000","","21.19",""
"2011","강원","4272000","강원횡성군","48585105000","267977981000","","18.13",""
"2011","강원","4273000","강원영월군","43334244000","266793423000","","16.24",""
"2011","강원","4274000","강원평창군","36989405000","229772895000","","16.10",""
"2011","강원","4275000","강원정선군","60382962000","270529099000","","22.32",""
"2011","강원","4276000","강원철원군","25004468000","248574374000","","10.06",""
"2011","강원","4277000","강원화천군","26835693000","207163266000","","12.95",""
"2011","강원","4278000","강원양구군","33254920000","202802459000","","16.40",""
"2011","강원","4279000","강원인제군","38882656000","240469807000","","16.17",""
"2011","강원","4280000","강원고성군","28955959000","217842263000","","13.29",""
"2011","강원","4281000","강원양양군","32262027000","197817886000","","16.31",""
"2011","충북","4300000","충북본청","678129052000","2669162332000","","25.41",""
"2011","충북","4311000","충북청주시","306111104000","824237497000","","37.14",""
"2011","충북","4312000","충북충주시","145797199000","628589405000","","23.19",""
"2011","충북","4313000","충북제천시","92213311000","427343001000","","21.58",""
"2011","충북","4371000","충북청원군","137337670000","435376860000","","31.54",""
"2011","충북","4372000","충북보은군","30936023000","222936230000","","13.88",""
"2011","충북","4373000","충북옥천군","48704341000","247005476000","","19.72",""
"2011","충북","4374000","충북영동군","55553707000","283364071000","","19.61",""
"2011","충북","4379000","충북증평군","31198101000","147793026000","","21.11",""
"2011","충북","4375000","충북진천군","77291534000","265074497000","","29.16",""
"2011","충북","4376000","충북괴산군","42230404000","277163827000","","15.24",""
"2011","충북","4377000","충북음성군","83083617000","308402953000","","26.94",""
"2011","충북","4378000","충북단양군","49187753000","233720715000","","21.05",""
"2011","충남","4400000","충남본청","1089916015000","3706300000000","","29.41",""
"2011","충남","4411000","충남천안시","370572909000","812000000000","","45.64",""
"2011","충남","4412000","충남공주시","82229334000","448100000000","","18.35",""
"2011","충남","4413000","충남보령시","99481081000","427711414000","","23.26",""
"2011","충남","4414000","충남아산시","319682448000","655200000000","","48.79",""
"2011","충남","4415000","충남서산시","142157136000","490231498000","","29.00",""
"2011","충남","4416000","충남논산시","76647047000","425761468000","","18.00",""
