"회계연도","지역명","자치단체코드","자치단체명","교부액","세출결산액","교부액비율(%)"
"2011","서울","1100000","서울본청","172668767020","14502962392759","1.19"
"2011","서울","1111000","서울종로구","2977572700","211060823588","1.41"
"2011","서울","1112000","서울중구","2692370550","224638648088","1.20"
"2011","서울","1113000","서울용산구","22835722430","230308348801","9.92"
"2011","서울","1114000","서울성동구","2662685890","302340248370","0.88"
"2011","서울","1115000","서울광진구","2815212800","243983765400","1.15"
"2011","서울","1116000","서울동대문구","9929225830","304749419310","3.26"
"2011","서울","1117000","서울중랑구","2918557917","319981932394","0.91"
"2011","서울","1118000","서울성북구","2323868615","335387047115","0.69"
"2011","서울","1119000","서울강북구","2687270890","295648827137","0.91"
"2011","서울","1120000","서울도봉구","2614943590","258039810715","1.01"
"2011","서울","1121000","서울노원구","9076095460","425562007940","2.13"
"2011","서울","1122000","서울은평구","1679778620","334640901651","0.50"
"2011","서울","1123000","서울서대문구","3241430090","250957526460","1.29"
"2011","서울","1124000","서울마포구","4610145902","289935865588","1.59"
"2011","서울","1125000","서울양천구","3129800490","291098052620","1.08"
"2011","서울","1126000","서울강서구","2793101320","386323532300","0.72"
"2011","서울","1127000","서울구로구","1634976830","298289746310","0.55"
"2011","서울","1128000","서울금천구","2197060140","236354799438","0.93"
"2011","서울","1129000","서울영등포구","3266378096","294648093501","1.11"
"2011","서울","1130000","서울동작구","4089491700","273187035480","1.50"
"2011","서울","1131000","서울관악구","2092765192","317526549839","0.66"
"2011","서울","1132000","서울서초구","2208790159","264191070235","0.84"
"2011","서울","1133000","서울강남구","7129994520","468669053955","1.52"
"2011","서울","1134000","서울송파구","1832690240","345687316709","0.53"
"2011","서울","1135000","서울강동구","1807288030","291265833868","0.62"
"2011","부산","2600000","부산본청","77106109560","6146767150890","1.25"
"2011","부산","2611000","부산중구","757515790","86721691810","0.87"
"2011","부산","2612000","부산서구","4387451360","151612370500","2.89"
"2011","부산","2613000","부산동구","716145500","139522884100","0.51"
"2011","부산","2614000","부산영도구","7825403040","153292722970","5.10"
"2011","부산","2615000","부산부산진구","2400185820","268822306860","0.89"
"2011","부산","2616000","부산동래구","2362184830","178982581330","1.32"
"2011","부산","2617000","부산남구","35763458880","199272209850","17.95"
"2011","부산","2618000","부산북구","2944323850","237075396040","1.24"
"2011","부산","2619000","부산해운대구","2079269780","291697247730","0.71"
"2011","부산","2620000","부산사하구","3462933390","264997025840","1.31"
"2011","부산","2621000","부산금정구","2838680550","208066472270","1.36"
"2011","부산","2622000","부산강서구","4259702320","142361246437","2.99"
"2011","부산","2623000","부산연제구","1543759380","154442352130","1.00"
"2011","부산","2624000","부산수영구","21041933010","127019712550","16.57"
"2011","부산","2625000","부산사상구","2269599610","214567291830","1.06"
"2011","부산","2671000","부산기장군","5961139040","226684612040","2.63"
"2011","대구","2700000","대구본청","130393335920","3615262439130","3.61"
"2011","대구","2711000","대구중구","2030434302","131000838010","1.55"
"2011","대구","2712000","대구동구","38871481370","303011675210","12.83"
"2011","대구","2713000","대구서구","2805871140","178844124210","1.57"
"2011","대구","2714000","대구남구","2725726627","166228499079","1.64"
"2011","대구","2715000","대구북구","2776480290","302615647850","0.92"
"2011","대구","2716000","대구수성구","3123935920","290427279280","1.08"
"2011","대구","2717000","대구달서구","3041916580","349222812439","0.87"
"2011","대구","2771000","대구달성군","4064084494","314770531869","1.29"
"2011","인천","2800000","인천본청","61895420193","4063296367174","1.52"
"2011","인천","2811000","인천중구","3941336382","197864330610","1.99"
"2011","인천","2812000","인천동구","799099372","108134478154","0.74"
"2011","인천","2813000","인천남구","4171626379","292605561289","1.43"
"2011","인천","2814000","인천연수구","4373280080","224919735218","1.94"
"2011","인천","2815000","인천남동구","2430152100","364853984960","0.67"
"2011","인천","2816000","인천부평구","2651850719","389482686087","0.68"
"2011","인천","2817000","인천계양구","2854608700","227848994875","1.25"
"2011","인천","2818000","인천서구","2476062497","321860552541","0.77"
"2011","인천","2871000","인천강화군","4966678710","331016230605","1.50"
"2011","인천","2872000","인천옹진군","21525080540","209104949730","10.29"
"2011","광주","2900000","광주본청","68588274675","2542676019880","2.70"
"2011","광주","2911000","광주동구","2884662190","155227931080","1.86"
"2011","광주","2912000","광주서구","2747212670","267014319787","1.03"
"2011","광주","2913000","광주남구","3681173080","215097460710","1.71"
"2011","광주","2914000","광주북구","4076353883","364138991685","1.12"
"2011","광주","2915000","광주광산구","5473614810","315194125436","1.74"
"2011","대전","3000000","대전본청","38865367670","2355770321020","1.65"
"2011","대전","3011000","대전동구","1994857880","278892257080","0.72"
"2011","대전","3012000","대전중구","2266009230","229024981640","0.99"
"2011","대전","3013000","대전서구","6097032540","328514804373","1.86"
"2011","대전","3014000","대전유성구","8007639183","230537890825","3.47"
"2011","대전","3015000","대전대덕구","2287938810","228029573607","1.00"
"2011","울산","3100000","울산본청","39255551464","1765609865711","2.22"
"2011","울산","3111000","울산중구","2703600080","156994134550","1.72"
"2011","울산","3112000","울산남구","5837331110","227046998278","2.57"
"2011","울산","3113000","울산동구","1648848420","128025532581","1.29"
"2011","울산","3114000","울산북구","2842053680","151598832698","1.87"
