"회계연도","지역명","자치단체코드","자치단체명","교부액","세출결산액","교부액비율(%)"
"2018","서울","1100000","서울본청","857925964306","32696693561219","2.62"
"2018","서울","1111000","서울종로구","39833659090","390773930730","10.19"
"2018","서울","1112000","서울중구","38071378322","392768667537","9.69"
"2018","서울","1113000","서울용산구","47225875255","364558221843","12.95"
"2018","서울","1114000","서울성동구","83233953950","471019958432","17.67"
"2018","서울","1115000","서울광진구","78716549122","481121135653","16.36"
"2018","서울","1116000","서울동대문구","92354869450","566089704920","16.31"
"2018","서울","1117000","서울중랑구","114596514550","593932185488","19.29"
"2018","서울","1118000","서울성북구","119041209850","644686461529","18.46"
"2018","서울","1119000","서울강북구","69265360764","565232056564","12.25"
"2018","서울","1120000","서울도봉구","77869111545","531803564019","14.64"
"2018","서울","1121000","서울노원구","185678007640","810982703975","22.90"
"2018","서울","1122000","서울은평구","118051824312","673609057622","17.53"
"2018","서울","1123000","서울서대문구","76798336180","489641397469","15.68"
"2018","서울","1124000","서울마포구","99284520481","529465503416","18.75"
"2018","서울","1125000","서울양천구","98271137785","607165424319","16.19"
"2018","서울","1126000","서울강서구","156798305860","777674390410","20.16"
"2018","서울","1127000","서울구로구","124873671160","595531445479","20.97"
"2018","서울","1128000","서울금천구","79276801294","420363208693","18.86"
"2018","서울","1129000","서울영등포구","102911789641","564756692690","18.22"
"2018","서울","1130000","서울동작구","91308191786","526096669543","17.36"
"2018","서울","1131000","서울관악구","113481726005","628958376280","18.04"
"2018","서울","1132000","서울서초구","110951381533","565191390227","19.63"
"2018","서울","1133000","서울강남구","50269391706","713915671876","7.04"
"2018","서울","1134000","서울송파구","154371549855","704722527683","21.91"
"2018","서울","1135000","서울강동구","130021356646","618792809080","21.01"
"2018","부산","2600000","부산본청","186959073430","10606701897289","1.76"
"2018","부산","2611000","부산중구","9085481900","143632504140","6.33"
"2018","부산","2612000","부산서구","37902557290","252956957040","14.98"
"2018","부산","2613000","부산동구","28989182180","237905280340","12.19"
"2018","부산","2614000","부산영도구","36068143830","284929221160","12.66"
"2018","부산","2615000","부산부산진구","30988449530","510415801880","6.07"
"2018","부산","2616000","부산동래구","41369388140","342115269860","12.09"
"2018","부산","2617000","부산남구","28232834970","379213081790","7.45"
"2018","부산","2618000","부산북구","42189218260","417053954520","10.12"
"2018","부산","2619000","부산해운대구","110762139090","533010174850","20.78"
"2018","부산","2620000","부산사하구","26259805200","497734100270","5.28"
"2018","부산","2621000","부산금정구","44842178210","363623954890","12.33"
"2018","부산","2622000","부산강서구","28241874168","299521587214","9.43"
"2018","부산","2623000","부산연제구","30977781410","290325190650","10.67"
"2018","부산","2624000","부산수영구","23654142980","267047211010","8.86"
"2018","부산","2625000","부산사상구","31824635110","361564610520","8.80"
"2018","부산","2671000","부산기장군","33902274260","492744212908","6.88"
"2018","대구","2700000","대구본청","196499974950","7161209090001","2.74"
"2018","대구","2711000","대구중구","34185875877","211198430934","16.19"
"2018","대구","2712000","대구동구","76706420263","558994570059","13.72"
"2018","대구","2713000","대구서구","36386045300","334768211307","10.87"
"2018","대구","2714000","대구남구","54839311325","308888605602","17.75"
"2018","대구","2715000","대구북구","57364947310","548590619169","10.46"
"2018","대구","2716000","대구수성구","65663750605","538445530791","12.20"
"2018","대구","2717000","대구달서구","70991817983","674948824872","10.52"
"2018","대구","2771000","대구달성군","55751480148","682762269694","8.17"
"2018","인천","2800000","인천본청","110037937560","7605447747764","1.45"
"2018","인천","2811000","인천중구","42450354047","331125458707","12.82"
"2018","인천","2812000","인천동구","29502200705","191369486201","15.42"
"2018","인천","2813000","인천미추홀구","140717278509","603157722484","23.33"
"2018","인천","2814000","인천연수구","101030888359","461172367708","21.91"
"2018","인천","2815000","인천남동구","154020629412","692700439940","22.23"
"2018","인천","2816000","인천부평구","159905435540","674545323576","23.71"
"2018","인천","2817000","인천계양구","88602756565","446770795223","19.83"
"2018","인천","2818000","인천서구","181477164455","717218269218","25.30"
"2018","인천","2871000","인천강화군","29131186687","443453052120","6.57"
"2018","인천","2872000","인천옹진군","42522786020","289922946550","14.67"
"2018","광주","2900000","광주본청","153492446560","4345693065307","3.53"
"2018","광주","2911000","광주동구","59117512430","273896492890","21.58"
"2018","광주","2912000","광주서구","95854109240","440799807083","21.75"
"2018","광주","2913000","광주남구","88515791680","372565908227","23.76"
"2018","광주","2914000","광주북구","146421183860","625460800254","23.41"
"2018","광주","2915000","광주광산구","171234312154","572509706829","29.91"
"2018","대전","3000000","대전본청","73896617490","4185362958969","1.77"
"2018","대전","3011000","대전동구","88318070424","445795151227","19.81"
"2018","대전","3012000","대전중구","84963910390","398543431869","21.32"
"2018","대전","3013000","대전서구","96894612300","589129432200","16.45"
"2018","대전","3014000","대전유성구","51905638520","447849421260","11.59"
"2018","대전","3015000","대전대덕구","53081828720","357423549683","14.85"
"2018","울산","3100000","울산본청","76214608308","3324450660883","2.29"
"2018","울산","3111000","울산중구","31265896218","342405184070","9.13"
"2018","울산","3112000","울산남구","41654814211","448223796023","9.29"
"2018","울산","3113000","울산동구","30879620734","264122277631","11.69"
"2018","울산","3114000","울산북구","40719424165","363261583937","11.21"
"2018","울산","3171000","울산울주군","56875048210","852148725334","6.67"
"2018","세종","3200000","세종본청","78103143588","1266571015465","6.17"
"2018","경기","4100000","경기본청","195680082394","22835518020542","0.86"
"2018","경기","4111000","경기수원시","200208248920","2274328616652","8.80"
"2018","경기","4112000","경기성남시","109272127924","2232050993350","4.90"
"2018","경기","4120000","경기고양시","179974872550","1846601281100","9.75"
"2018","경기","4129000","경기용인시","106031683161","2095131218396","5.06"
"2018","경기","4115000","경기부천시","131417284980","1515142787200","8.67"
"2018","경기","4119000","경기안산시","103661660013","1386499981712","7.48"
"2018","경기","4114000","경기안양시","79724879760","1096832618030","7.27"
"2018","경기","4123000","경기남양주시","118613495252","1348761132370","8.79"
"2018","경기","4134000","경기화성시","138772315654","2014806499939","6.89"
"2018","경기","4117000","경기평택시","195240461805","1360556021690","14.35"
"2018","경기","4113000","경기의정부시","125759626319","869146186194","14.47"
"2018","경기","4125000","경기시흥시","83840080341","964554884431","8.69"
"2018","경기","4130000","경기파주시","83288871740","963665218270","8.64"
"2018","경기","4116000","경기광명시","38994099660","653989826680","5.96"
"2018","경기","4133000","경기김포시","46500837060","907044476580","5.13"
"2018","경기","4126000","경기군포시","33946694748","555129369661","6.12"
