"회계연도","지역명","자치단체코드","자치단체명","교부액","세출결산액","교부액비율(%)"
"2017","서울","1100000","서울본청","672683440029","22077574113882","3.05"
"2017","서울","1111000","서울종로구","38264970160","357628959800","10.70"
"2017","서울","1112000","서울중구","36656604416","338316703205","10.83"
"2017","서울","1113000","서울용산구","43482155946","339546771619","12.81"
"2017","서울","1114000","서울성동구","78108285980","432336341550","18.07"
"2017","서울","1115000","서울광진구","76388801940","438189753498","17.43"
"2017","서울","1116000","서울동대문구","86191043130","498859959828","17.28"
"2017","서울","1117000","서울중랑구","108956364060","516103223568","21.11"
"2017","서울","1118000","서울성북구","115414596498","584249954994","19.75"
"2017","서울","1119000","서울강북구","70052772737","512352484798","13.67"
"2017","서울","1120000","서울도봉구","77092967255","474258667608","16.26"
"2017","서울","1121000","서울노원구","177004972920","759465797352","23.31"
"2017","서울","1122000","서울은평구","114225972110","593290859278","19.25"
"2017","서울","1123000","서울서대문구","73104060940","461619949856","15.84"
"2017","서울","1124000","서울마포구","93722391640","471923176376","19.86"
"2017","서울","1125000","서울양천구","95737260361","554170167354","17.28"
"2017","서울","1126000","서울강서구","147341806950","687983837690","21.42"
"2017","서울","1127000","서울구로구","113381650840","533670068299","21.25"
"2017","서울","1128000","서울금천구","74641158140","372931846990","20.01"
"2017","서울","1129000","서울영등포구","93740123897","484032681377","19.37"
"2017","서울","1130000","서울동작구","88012319019","482075372378","18.26"
"2017","서울","1131000","서울관악구","106117852040","558481851857","19.00"
"2017","서울","1132000","서울서초구","101164260420","539857878204","18.74"
"2017","서울","1133000","서울강남구","31877914152","656930132347","4.85"
"2017","서울","1134000","서울송파구","139511839537","603899519417","23.10"
"2017","서울","1135000","서울강동구","118961773812","543890019106","21.87"
"2017","부산","2600000","부산본청","209028194310","8342800808970","2.51"
"2017","부산","2611000","부산중구","8637712420","132076005930","6.54"
"2017","부산","2612000","부산서구","34272319570","249356335430","13.74"
"2017","부산","2613000","부산동구","26092448130","226549280940","11.52"
"2017","부산","2614000","부산영도구","32703166330","262060879360","12.48"
"2017","부산","2615000","부산부산진구","28236601010","451054919850","6.26"
"2017","부산","2616000","부산동래구","37808264550","301749817420","12.53"
"2017","부산","2617000","부산남구","24475471450","338406440980","7.23"
"2017","부산","2618000","부산북구","39549812480","387437537090","10.21"
"2017","부산","2619000","부산해운대구","100750530180","511539209640","19.70"
"2017","부산","2620000","부산사하구","24398293790","442720336530","5.51"
"2017","부산","2621000","부산금정구","40901461300","340199068870","12.02"
"2017","부산","2622000","부산강서구","27286135520","273536225207","9.98"
"2017","부산","2623000","부산연제구","31289812920","269254917900","11.62"
"2017","부산","2624000","부산수영구","21733033850","245291250550","8.86"
"2017","부산","2625000","부산사상구","34435697320","325049981770","10.59"
"2017","부산","2671000","부산기장군","32145818190","424547250562","7.57"
"2017","대구","2700000","대구본청","194126035930","5376320950693","3.61"
"2017","대구","2711000","대구중구","31186999854","228656900351","13.64"
"2017","대구","2712000","대구동구","73972356960","525128002410","14.09"
"2017","대구","2713000","대구서구","33558821487","319957499157","10.49"
"2017","대구","2714000","대구남구","49921011950","305871853819","16.32"
"2017","대구","2715000","대구북구","62143838256","507951811256","12.23"
"2017","대구","2716000","대구수성구","60219516068","488929907253","12.32"
"2017","대구","2717000","대구달서구","63880237004","628069947539","10.17"
"2017","대구","2771000","대구달성군","51173894725","587020258292","8.72"
"2017","인천","2800000","인천본청","94367183378","6562923172249","1.44"
"2017","인천","2811000","인천중구","38935813387","296818238799","13.12"
"2017","인천","2812000","인천동구","25451738496","174951698090","14.55"
"2017","인천","2813000","인천남구","125883136054","524736930728","23.99"
"2017","인천","2814000","인천연수구","90993115217","396886517003","22.93"
"2017","인천","2815000","인천남동구","141307722140","601483938501","23.49"
"2017","인천","2816000","인천부평구","147854197097","632602913539","23.37"
"2017","인천","2817000","인천계양구","82030440816","394215007725","20.81"
"2017","인천","2818000","인천서구","148321378806","611091812272","24.27"
"2017","인천","2871000","인천강화군","26215414315","425735696218","6.16"
"2017","인천","2872000","인천옹진군","40080319420","293328015060","13.66"
"2017","광주","2900000","광주본청","161664688620","3557309536330","4.54"
"2017","광주","2911000","광주동구","54482610100","233439012402","23.34"
"2017","광주","2912000","광주서구","91022323418","392169963279","23.21"
"2017","광주","2913000","광주남구","80399474750","347547996007","23.13"
"2017","광주","2914000","광주북구","134744922868","558403609354","24.13"
"2017","광주","2915000","광주광산구","144772354907","519350138112","27.88"
"2017","대전","3000000","대전본청","72373917050","3453075422082","2.10"
"2017","대전","3011000","대전동구","82718227360","395721488245","20.90"
"2017","대전","3012000","대전중구","81346249933","374053544926","21.75"
"2017","대전","3013000","대전서구","90624120305","554040191128","16.36"
"2017","대전","3014000","대전유성구","47563482980","419978294030","11.33"
"2017","대전","3015000","대전대덕구","41800753729","329372884618","12.69"
"2017","울산","3100000","울산본청","66324545918","2733909387178","2.43"
"2017","울산","3111000","울산중구","29694602310","306153103759","9.70"
"2017","울산","3112000","울산남구","37345890524","388320237843","9.62"
"2017","울산","3113000","울산동구","24793431979","240161945546","10.32"
"2017","울산","3114000","울산북구","36224829857","300926646634","12.04"
"2017","울산","3171000","울산울주군","53050389940","859420426166","6.17"
"2017","세종","3200000","세종본청","78801216943","1040267253786","7.58"
"2017","경기","4100000","경기본청","200389740240","19245319155112","1.04"
"2017","경기","4111000","경기수원시","183246392836","1938421442941","9.45"
"2017","경기","4112000","경기성남시","89401554337","1923325403167","4.65"
"2017","경기","4120000","경기고양시","171703070370","1533679379260","11.20"
"2017","경기","4129000","경기용인시","261230786799","1769421012903","14.76"
"2017","경기","4115000","경기부천시","115804262840","1256346048660","9.22"
"2017","경기","4119000","경기안산시","96708665335","1729928297768","5.59"
"2017","경기","4114000","경기안양시","71611553633","985419438303","7.27"
"2017","경기","4123000","경기남양주시","111883043020","1116993049776","10.02"
"2017","경기","4134000","경기화성시","155431319467","1748772817667","8.89"
"2017","경기","4117000","경기평택시","184567885614","1163929445120","15.86"
"2017","경기","4113000","경기의정부시","120601169358","777031316803","15.52"
"2017","경기","4125000","경기시흥시","73744522269","802437641871","9.19"
"2017","경기","4130000","경기파주시","86761341870","869651735150","9.98"
"2017","경기","4116000","경기광명시","46549259520","592749318240","7.85"
"2017","경기","4133000","경기김포시","46595798310","724370941960","6.43"
"2017","경기","4126000","경기군포시","30111314922","463804165576","6.49"
"2017","경기","4135000","경기광주시","47388141997","796532887299","5.95"
"2017","경기","4131000","경기이천시","60109206059","668190081911","9.00"
"2017","경기","4136000","경기양주시","41283760560","592921022080","6.96"
"2017","경기","4124000","경기오산시","83834797367","399119835554","21.00"
"2017","경기","4122000","경기구리시","28528703690","372683611880","7.65"
"2017","경기","4132000","경기안성시","91701219840","667690780693","13.73"
"2017","경기","4137000","경기포천시","66873107589","579951664904","11.53"
"2017","경기","4127000","경기의왕시","35173045770","341561353944","10.30"
"2017","경기","4128000","경기하남시","24703982590","433068651480","5.70"
"2017","경기","4138000","경기여주시","43384944982","513864181436","8.44"
"2017","경기","4118000","경기동두천시","51782194110","300542814162","17.23"
"2017","경기","4121000","경기과천시","21319417010","190126742870","11.21"
"2017","경기","4178000","경기양평군","58808261770","503282165690","11.68"
"2017","경기","4177000","경기가평군","49802533960","369414872698","13.48"
"2017","경기","4175000","경기연천군","24044076510","355637471335","6.76"
"2017","강원","4200000","강원본청","135485357455","4918445069859","2.75"
"2017","강원","4211000","강원춘천시","93347785900","870206665506","10.73"
"2017","강원","4212000","강원원주시","84000046790","974582089043","8.62"
"2017","강원","4213000","강원강릉시","75366958509","829427709269","9.09"
"2017","강원","4214000","강원동해시","38846756003","315817318758","12.30"
"2017","강원","4215000","강원태백시","29764833477","284469093541","10.46"
"2017","강원","4216000","강원속초시","27794844888","279606375838","9.94"
"2017","강원","4217000","강원삼척시","43791919499","522682458224","8.38"
"2017","강원","4271000","강원홍천군","35872789120","469345099483","7.64"
"2017","강원","4272000","강원횡성군","42443996500","347497647393","12.21"
"2017","강원","4273000","강원영월군","24358713619","325195465756","7.49"
"2017","강원","4274000","강원평창군","53361960692","448827675134","11.89"
"2017","강원","4275000","강원정선군","33774830346","382906093453","8.82"
"2017","강원","4276000","강원철원군","29716544085","386360186828","7.69"
"2017","강원","4277000","강원화천군","18761410527","249587057540","7.52"
"2017","강원","4278000","강원양구군","18289169140","271919990898","6.73"
"2017","강원","4279000","강원인제군","32898350777","333562301246","9.86"
"2017","강원","4280000","강원고성군","24253505162","295353324470","8.21"
"2017","강원","4281000","강원양양군","24715647154","249391895920","9.91"
"2017","충북","4300000","충북본청","85382879230","3861970609520","2.21"
"2017","충북","4314000","충북청주시","208744261234","1988271258053","10.50"
"2017","충북","4312000","충북충주시","76644114180","752926824680","10.18"
"2017","충북","4313000","충북제천시","59732045920","626635097370","9.53"
"2017","충북","4372000","충북보은군","34215860610","316878314797","10.80"
"2017","충북","4373000","충북옥천군","26653737630","345089645840","7.72"
"2017","충북","4374000","충북영동군","30296207790","379002109470","7.99"
"2017","충북","4379000","충북증평군","13709846170","176199947714","7.78"
"2017","충북","4375000","충북진천군","31206080450","346603971680","9.00"
"2017","충북","4376000","충북괴산군","32269625370","335874574690","9.61"
"2017","충북","4377000","충북음성군","28317633970","451883192699","6.27"
"2017","충북","4378000","충북단양군","25727004310","296200561300","8.69"
"2017","충남","4400000","충남본청","76136868250","5122011210719","1.49"
"2017","충남","4411000","충남천안시","117844324446","1301903196044","9.05"
"2017","충남","4412000","충남공주시","58326831990","593454401680","9.83"
"2017","충남","4413000","충남보령시","67763401268","589437579302","11.50"
"2017","충남","4414000","충남아산시","72285807450","863124474356","8.37"
"2017","충남","4415000","충남서산시","59381950267","689834106965","8.61"
"2017","충남","4416000","충남논산시","61012701960","615515203870","9.91"
"2017","충남","4417000","충남계룡시","11910979972","136262268376","8.74"
"2017","충남","4418000","충남당진시","58074669480","702614687450","8.27"
"2017","충남","4471000","충남금산군","22113543908","343695704227","6.43"
"2017","충남","4473000","충남부여군","32061081910","504643000641","6.35"
"2017","충남","4474000","충남서천군","38961626350","387058740786","10.07"
"2017","충남","4475000","충남청양군","26160429148","324687940798","8.06"
"2017","충남","4476000","충남홍성군","37496938511","478748956208","7.83"
"2017","충남","4477000","충남예산군","41741294610","526932777761","7.92"
"2017","충남","4478000","충남태안군","29460938950","428904776942","6.87"
"2017","전북","4500000","전북본청","127830844960","4987166484282","2.56"
"2017","전북","4511000","전북전주시","117141817160","1255416623291","9.33"
"2017","전북","4512000","전북군산시","43756614241","849211464286","5.15"
"2017","전북","4513000","전북익산시","117281390056","989276759252","11.86"
"2017","전북","4514000","전북정읍시","62603698009","684179630061","9.15"
"2017","전북","4515000","전북남원시","60963283565","584498761409","10.43"
"2017","전북","4516000","전북김제시","75999970570","656010651200","11.59"
"2017","전북","4571000","전북완주군","51466863250","552253366630","9.32"
"2017","전북","4572000","전북진안군","30186744260","320190664530","9.43"
"2017","전북","4573000","전북무주군","34165353051","278052166225","12.29"
"2017","전북","4574000","전북장수군","24633487390","264292479870","9.32"
"2017","전북","4575000","전북임실군","41759571380","328134439939","12.73"
"2017","전북","4576000","전북순창군","33854443610","307797766810","11.00"
"2017","전북","4577000","전북고창군","36768453960","513339353070","7.16"
"2017","전북","4578000","전북부안군","27522501820","480033500380","5.73"
"2017","전남","4600000","전남본청","159684395130","6026021828735","2.65"
"2017","전남","4611000","전남목포시","61122162150","596689741840","10.24"
"2017","전남","4612000","전남여수시","76351779153","913806866671","8.36"
"2017","전남","4613000","전남순천시","65574434728","889552079029","7.37"
"2017","전남","4614000","전남나주시","52210970090","679588457354","7.68"
"2017","전남","4615000","전남광양시","38575904025","589561252018","6.54"
"2017","전남","4671000","전남담양군","34486867730","327428405270","10.53"
"2017","전남","4672000","전남곡성군","33851236060","303405265495","11.16"
"2017","전남","4673000","전남구례군","15418003450","258711359710","5.96"
"2017","전남","4674000","전남고흥군","29804282280","558042498623","5.34"
"2017","전남","4675000","전남보성군","34619703755","390984073307","8.85"
"2017","전남","4676000","전남화순군","44274409980","440757574237","10.05"
"2017","전남","4677000","전남장흥군","36241689900","360446802244","10.05"
