Unnamed: 0,회계연도,지역명,자치단체코드,자치단체명,부채,자산_x,지자체 자산대비 부채비율(%),전년도자산,총자산증가율
53,2013,인천,2811000,인천중구,"14,655,511,299",750651752735,1.95,714800646949,5.015539079185798
54,2013,인천,2812000,인천동구,"6,096,772,810",422684693592,1.44,406545936154,3.9697254363616667
55,2013,인천,2813000,인천미추홀구,"36,115,381,902",1062825093944,3.4,1048612071193,1.3554128491797661
56,2013,인천,2814000,인천연수구,"7,217,470,985",1034533308588,0.7,1012332650271,2.1930200819915187
57,2013,인천,2815000,인천남동구,"16,785,605,690",2067491528810,0.81,2050292332907,0.8388655425840753
58,2013,인천,2816000,인천부평구,"96,676,097,101",1321664949247,7.31,1308594499752,0.9988158667545266
59,2013,인천,2817000,인천계양구,"21,738,732,793",856438350671,2.54,836903323727,2.3342035322555814
60,2013,인천,2818000,인천서구,"46,768,888,015",1897205285781,2.47,1596056449900,18.868307314560727
61,2013,인천,2871000,인천강화군,"13,574,126,431",1800847460589,0.75,1698758822932,6.009601614948406
62,2013,인천,2872000,인천옹진군,"15,035,844,834",1079498134342,1.39,1063850261499,1.4708717391253572
63,2013,광주,2900000,광주본청,"1,215,513,227,458",17641955150054,6.89,16759678089347,5.264284051301702
64,2013,광주,2911000,광주동구,"25,710,328,928",419600094983,6.13,391138682505,7.276552729513316
65,2013,광주,2912000,광주서구,"35,134,610,929",881061469093,3.99,869291496607,1.353973038036183
66,2013,광주,2913000,광주남구,"19,734,734,546",650233937629,3.04,639254253359,1.7175770379792683
67,2013,광주,2914000,광주북구,"30,782,004,136",1002794863622,3.07,988429296815,1.4533732309726086
68,2013,광주,2915000,광주광산구,"26,295,259,812",1095539568605,2.4,1066984603786,2.6762302584009108
69,2013,대전,3000000,대전본청,"1,035,118,217,011",19937846583434,5.19,19627977779814,1.5787097738549427
70,2013,대전,3011000,대전동구,"56,809,143,939",1162911000741,4.89,1111872651091,4.5903053375689895
71,2013,대전,3012000,대전중구,"23,178,379,478",1100021031399,2.11,1064609938110,3.326203525007971
72,2013,대전,3013000,대전서구,"22,507,788,913",1452462831907,1.55,1419170939136,2.3458691164623415
73,2013,대전,3014000,대전유성구,"14,585,028,523",1186226808693,1.23,1160845944321,2.1864110820360176
74,2013,대전,3015000,대전대덕구,"23,120,849,757",960396362497,2.41,933340752342,2.8987923314298967
75,2013,울산,3100000,울산본청,"906,730,464,881",11493748959373,7.89,11203246004159,2.593024870704045
76,2013,울산,3111000,울산중구,"8,350,845,292",869432822810,0.96,866995868638,0.28108025195417746
77,2013,울산,3112000,울산남구,"17,571,813,559",1422288513576,1.24,1395708427770,1.9044153690802357
78,2013,울산,3113000,울산동구,"10,122,384,222",515410004286,1.96,467491264572,10.250189328750519
79,2013,울산,3114000,울산북구,"7,328,409,800",567839610963,1.29,552041030805,2.8618488982534713
80,2013,울산,3171000,울산울주군,"10,786,923,789",2496372483024,0.43,2364673795374,5.569423059858892
81,2013,세종,3200000,세종본청,"147,836,134,549",2031469310750,7.28,1739198547461,16.804910728316596
82,2013,경기,4100000,경기본청,"4,553,238,088,058",32151755196565,14.16,31298404965003,2.726497508471094
83,2013,경기,4111000,경기수원시,"95,176,682,835",11814886467430,0.81,11412486809990,3.52595945248109
84,2013,경기,4112000,경기성남시,"146,957,105,914",21060582976203,0.7,20892029580928,0.8067832501485146
85,2013,경기,4120000,경기고양시,"464,503,402,384",16289193908444,2.85,16079949979880,1.301272260335486
86,2013,경기,4129000,경기용인시,"748,096,356,243",12249507432511,6.11,12102240075121,1.216860320699989
87,2013,경기,4115000,경기부천시,"109,351,725,473",10375727387181,1.05,10140222167139,2.3224858012006093
88,2013,경기,4119000,경기안산시,"55,282,440,356",8136142996467,0.68,7829841010497,3.911982191711929
89,2013,경기,4114000,경기안양시,"142,430,854,217",7813124344172,1.82,7740041103778,0.944222897709513
90,2013,경기,4123000,경기남양주시,"131,837,594,463",4927644638713,2.68,4351939258491,13.228708996770816
91,2013,경기,4134000,경기화성시,"234,663,558,083",6863059581795,3.42,5745390276871,19.453322595391978
92,2013,경기,4117000,경기평택시,"305,817,082,633",7171240095223,4.26,6504201517841,10.255502932255647
93,2013,경기,4113000,경기의정부시,"267,162,493,270",4819901776350,5.54,4717987935396,2.1601123688639943
94,2013,경기,4125000,경기시흥시,"423,990,285,460",5522040655871,7.68,5339448486380,3.41968220045124
95,2013,경기,4130000,경기파주시,"197,610,077,489",5508897575975,3.59,5412100218801,1.7885359335685869
96,2013,경기,4116000,경기광명시,"33,895,261,661",3219230695963,1.05,3188951199214,0.949512703626922
97,2013,경기,4133000,경기김포시,"110,602,112,479",4551852444710,2.43,4175004274256,9.026294243043754
98,2013,경기,4126000,경기군포시,"40,033,540,663",3726800849123,1.07,3716230621526,0.2844341127747216
