iter	Passed	Remaining
440	1285	1629
441	1288	1626
442	1290	1623
443	1293	1619
444	1296	1616
445	1298	1613
446	1301	1609
447	1304	1606
448	1306	1603
449	1309	1600
450	1311	1596
451	1314	1593
452	1317	1590
453	1319	1587
454	1322	1584
455	1325	1580
456	1327	1577
457	1330	1574
458	1333	1571
459	1336	1568
460	1338	1565
461	1341	1561
462	1344	1558
463	1346	1555
464	1349	1552
465	1351	1549
466	1354	1545
467	1357	1542
468	1359	1539
469	1362	1536
470	1365	1533
471	1367	1530
472	1370	1527
473	1373	1523
474	1375	1520
475	1378	1517
476	1381	1514
477	1383	1511
478	1386	1508
479	1389	1505
480	1392	1501
481	1394	1498
482	1397	1495
483	1400	1492
484	1402	1489
485	1405	1486
486	1408	1483
487	1410	1480
488	1413	1477
489	1416	1473
490	1418	1470
491	1421	1467
492	1423	1464
493	1426	1461
494	1429	1457
495	1431	1454
496	1434	1451
497	1437	1448
498	1440	1445
499	1442	1442
500	1445	1439
501	1448	1436
502	1450	1433
503	1453	1430
504	1455	1427
505	1458	1424
506	1461	1420
507	1464	1417
508	1466	1414
509	1469	1411
510	1472	1408
511	1474	1405
512	1477	1402
513	1480	1399
514	1482	1396
515	1485	1393
516	1488	1390
517	1491	1387
518	1493	1384
519	1496	1381
520	1498	1378
521	1501	1374
522	1504	1372
523	1507	1368
524	1509	1365
525	1512	1362
526	1514	1359
527	1517	1356
528	1520	1353
529	1523	1350
530	1525	1347
531	1528	1344
532	1531	1341
533	1533	1338
534	1536	1335
535	1539	1332
536	1542	1329
537	1544	1326
538	1547	1323
539	1550	1320
540	1552	1317
541	1555	1314
542	1558	1311
543	1560	1308
544	1563	1305
545	1566	1302
546	1568	1299
547	1571	1296
548	1574	1293
549	1576	1290
550	1579	1287
551	1582	1284
552	1584	1281
553	1587	1278
554	1590	1274
555	1592	1272
556	1595	1268
557	1598	1266
558	1600	1262
559	1603	1259
560	1606	1256
561	1608	1253
562	1611	1250
563	1614	1247
564	1616	1244
565	1619	1241
566	1622	1238
567	1624	1235
568	1627	1232
569	1629	1229
570	1632	1226
571	1635	1223
572	1638	1220
573	1640	1217
574	1643	1214
575	1646	1211
576	1648	1208
577	1651	1205
578	1654	1202
579	1656	1199
580	1659	1196
581	1662	1193
582	1664	1190
583	1667	1187
584	1670	1184
585	1672	1181
586	1675	1178
587	1678	1175
588	1681	1173
589	1683	1170
590	1686	1167
591	1689	1164
592	1691	1161
593	1694	1158
594	1697	1155
595	1709	1158
596	1711	1155
597	1714	1152
598	1716	1149
599	1719	1146
600	1722	1143
601	1724	1140
602	1727	1137
603	1730	1134
604	1733	1131
605	1735	1128
606	1738	1125
607	1741	1122
608	1743	1119
609	1746	1116
610	1749	1113
611	1752	1110
612	1754	1107
613	1757	1104
614	1760	1101
615	1762	1098
616	1765	1095
617	1768	1092
618	1770	1089
619	1773	1086
620	1775	1083
621	1778	1080
622	1781	1077
623	1783	1074
624	1786	1071
625	1789	1068
626	1791	1066
627	1794	1063
628	1797	1060
629	1799	1057
630	1802	1054
631	1804	1050
632	1807	1048
633	1810	1045
634	1812	1042
635	1815	1039
636	1818	1036
637	1820	1033
638	1823	1030
639	1826	1027
640	1829	1024
641	1832	1021
642	1835	1018
643	1837	1015
644	1840	1012
645	1842	1009
646	1845	1006
647	1848	1003
648	1850	1000
649	1853	997
650	1855	994
651	1858	991
652	1861	989
653	1863	986
654	1866	983
655	1869	980
656	1871	977
657	1874	974
658	1877	971
659	1879	968
660	1882	965
661	1885	962
662	1887	959
663	1890	956
664	1893	953
665	1895	950
666	1898	947
667	1901	944
668	1903	941
669	1906	939
670	1909	936
671	1911	933
672	1914	930
673	1917	927
674	1919	924
675	1922	921
676	1925	918
677	1927	915
678	1930	912
679	1933	909
680	1935	906
681	1938	903
682	1941	901
683	1943	898
684	1946	895
685	1949	892
686	1951	889
687	1954	886
688	1956	883
689	1959	880
690	1962	877
691	1964	874
692	1967	871
693	1970	868
694	1972	865
695	1975	862
696	1978	859
697	1980	856
698	1983	854
699	1986	851
700	1988	848
701	1991	845
702	1994	842
703	1996	839
704	1999	836
705	2002	833
706	2004	830
707	2007	827
708	2009	824
709	2012	822
710	2015	819
711	2017	816
712	2020	813
713	2023	810
714	2025	807
715	2028	804
716	2031	801
717	2034	798
718	2036	796
719	2039	793
720	2042	790
721	2045	787
722	2047	784
723	2050	781
724	2053	778
725	2055	775
726	2058	772
727	2061	770
728	2063	767
729	2066	764
730	2069	761
731	2071	758
732	2074	755
733	2077	752
734	2079	749
735	2082	747
736	2085	744
737	2088	741
738	2090	738
739	2093	735
740	2096	732
741	2099	729
742	2102	727
743	2104	724
744	2107	721
745	2110	718
746	2113	715
747	2116	713
748	2119	710
749	2122	707
750	2125	704
751	2127	701
752	2130	698
753	2133	696
754	2136	693
755	2138	690
756	2141	687
757	2144	684
758	2146	681
759	2149	678
760	2152	675
761	2154	673
762	2157	670
763	2159	667
764	2162	664
765	2165	661
766	2168	658
767	2170	655
768	2173	652
769	2175	649
770	2178	647
771	2181	644
772	2183	641
773	2186	638
774	2189	635
775	2191	632
776	2194	629
777	2197	626
778	2199	624
779	2202	621
780	2205	618
781	2207	615
782	2210	612
783	2213	609
784	2215	606
785	2218	604
786	2221	601
787	2223	598
788	2226	595
789	2229	592
790	2231	589
791	2234	586
792	2237	584
793	2239	581
794	2242	578
795	2245	575
796	2248	572
797	2250	569
798	2253	566
799	2256	564
800	2258	561
801	2261	558
802	2263	555
803	2266	552
804	2269	549
805	2271	546
806	2274	543
807	2277	541
808	2279	538
809	2282	535
810	2284	532
811	2287	529
812	2290	526
813	2293	523
814	2295	521
815	2298	518
816	2302	515
817	2304	512
818	2307	509
819	2310	507
820	2313	504
821	2316	501
822	2318	498
823	2321	495
824	2324	493
825	2327	490
826	2330	487
827	2332	484
828	2335	481
829	2338	478
830	2340	476
831	2343	473
832	2346	470
833	2348	467
834	2351	464
835	2354	461
836	2356	458
837	2359	456
838	2362	453
839	2364	450
840	2367	447
841	2370	444
842	2372	441
843	2375	439
844	2378	436
845	2380	433
846	2383	430
847	2386	427
848	2389	424
849	2391	422
850	2394	419
851	2397	416
852	2399	413
853	2402	410
854	2405	407
855	2408	405
856	2410	402
857	2413	399
858	2416	396
859	2419	393
860	2421	390
861	2424	388
862	2427	385
863	2430	382
864	2432	379
865	2435	376
866	2438	374
867	2440	371
868	2443	368
869	2446	365
870	2448	362
871	2451	359
872	2454	357
873	2456	354
874	2459	351
875	2462	348
