"회계연도","지역명","자치단체코드","자치단체명","사회복지분야 결산액","세출결산액","사회복지비비율(%)"
"2017","서울","1100000","서울본청","6983114631051","22077574113882","31.63"
"2017","서울","1111000","서울종로구","115723944580","357628959800","32.36"
"2017","서울","1112000","서울중구","107844294800","338316703205","31.88"
"2017","서울","1113000","서울용산구","137153952780","339546771619","40.39"
"2017","서울","1114000","서울성동구","184358294100","432336341550","42.64"
"2017","서울","1115000","서울광진구","193170161961","438189753498","44.08"
"2017","서울","1116000","서울동대문구","251363232960","498859959828","50.39"
"2017","서울","1117000","서울중랑구","283436818780","516103223568","54.92"
"2017","서울","1118000","서울성북구","294876528992","584249954994","50.47"
"2017","서울","1119000","서울강북구","266604564881","512352484798","52.04"
"2017","서울","1120000","서울도봉구","245467015720","474258667608","51.76"
"2017","서울","1121000","서울노원구","421468969450","759465797352","55.50"
"2017","서울","1122000","서울은평구","345372896530","593290859278","58.21"
"2017","서울","1123000","서울서대문구","197605578770","461619949856","42.81"
"2017","서울","1124000","서울마포구","231819394783","471923176376","49.12"
"2017","서울","1125000","서울양천구","274949672259","554170167354","49.61"
"2017","서울","1126000","서울강서구","404649954610","687983837690","58.82"
"2017","서울","1127000","서울구로구","269729073309","533670068299","50.54"
"2017","서울","1128000","서울금천구","186768854670","372931846990","50.08"
"2017","서울","1129000","서울영등포구","239365565146","484032681377","49.45"
"2017","서울","1130000","서울동작구","237782006373","482075372378","49.32"
"2017","서울","1131000","서울관악구","299421849640","558481851857","53.61"
"2017","서울","1132000","서울서초구","233978580760","539857878204","43.34"
"2017","서울","1133000","서울강남구","273322062169","656930132347","41.61"
"2017","서울","1134000","서울송파구","301931927721","603899519417","50.00"
"2017","서울","1135000","서울강동구","269659808143","543890019106","49.58"
"2017","부산","2600000","부산본청","2879280764670","8342800808970","34.51"
"2017","부산","2611000","부산중구","47240994940","132076005930","35.77"
"2017","부산","2612000","부산서구","121211076630","249356335430","48.61"
"2017","부산","2613000","부산동구","111891543900","226549280940","49.39"
"2017","부산","2614000","부산영도구","139356165290","262060879360","53.18"
"2017","부산","2615000","부산부산진구","272668816990","451054919850","60.45"
"2017","부산","2616000","부산동래구","168656898160","301749817420","55.89"
