"회계연도","지역명","자치단체코드","자치단체명","사회복지분야 결산액","세출결산액","사회복지비비율(%)"
"2018","서울","1100000","서울본청","7621700015555","24698782868682","30.86"
"2018","서울","1111000","서울종로구","126979613730","373125740160","34.03"
"2018","서울","1112000","서울중구","119207521442","371433156926","32.09"
"2018","서울","1113000","서울용산구","149714697369","354317917303","42.25"
"2018","서울","1114000","서울성동구","203694776442","452430664312","45.02"
"2018","서울","1115000","서울광진구","211677736637","472651698553","44.79"
"2018","서울","1116000","서울동대문구","289661341390","557455929770","51.96"
"2018","서울","1117000","서울중랑구","320055091774","582877704128","54.91"
"2018","서울","1118000","서울성북구","316499188887","631363519883","50.13"
"2018","서울","1119000","서울강북구","290497406100","557969745970","52.06"
"2018","서울","1120000","서울도봉구","266114289519","526637036244","50.53"
"2018","서울","1121000","서울노원구","460439849880","800809140215","57.50"
"2018","서울","1122000","서울은평구","393545398199","666176752786","59.08"
"2018","서울","1123000","서울서대문구","219735732120","480220508579","45.76"
"2018","서울","1124000","서울마포구","255236470726","506562475236","50.39"
"2018","서울","1125000","서울양천구","298411462729","581431344599","51.32"
"2018","서울","1126000","서울강서구","450392512920","761164659600","59.17"
"2018","서울","1127000","서울구로구","303915795600","588480474789","51.64"
"2018","서울","1128000","서울금천구","206862129223","414870458503","49.86"
"2018","서울","1129000","서울영등포구","262831109628","545500852258","48.18"
"2018","서울","1130000","서울동작구","272115881197","518691021534","52.46"
"2018","서울","1131000","서울관악구","339912707715","615125743390","55.26"
"2018","서울","1132000","서울서초구","219674571022","554898959579","39.59"
"2018","서울","1133000","서울강남구","293899527478","693033658812","42.41"
"2018","서울","1134000","서울송파구","344208107970","692074304635","49.74"
"2018","서울","1135000","서울강동구","302657905056","604292684630","50.08"
"2018","부산","2600000","부산본청","3216698794980","8740233125930","36.80"
"2018","부산","2611000","부산중구","50793863650","136999854290","37.08"
"2018","부산","2612000","부산서구","133644966470","248289111940","53.83"
"2018","부산","2613000","부산동구","119658972040","228517102350","52.36"
"2018","부산","2614000","부산영도구","152480540830","282261125000","54.02"
"2018","부산","2615000","부산부산진구","296143975130","496823407330","59.61"
"2018","부산","2616000","부산동래구","187811565210","336410087330","55.83"
"2018","부산","2617000","부산남구","217814028190","370012429970","58.87"
"2018","부산","2618000","부산북구","266806067960","406007089140","65.71"
"2018","부산","2619000","부산해운대구","314234779420","522636212670","60.12"
"2018","부산","2620000","부산사하구","292920542650","487648814010","60.07"
"2018","부산","2621000","부산금정구","196851404790","354248002080","55.57"
"2018","부산","2622000","부산강서구","111096590815","298239180884","37.25"
"2018","부산","2623000","부산연제구","167421243200","281075584750","59.56"
"2018","부산","2624000","부산수영구","145727450300","262602679900","55.49"
"2018","부산","2625000","부산사상구","203921888110","350828144990","58.13"
"2018","부산","2671000","부산기장군","171907553717","439472882708","39.12"
"2018","대구","2700000","대구본청","2077145728179","5832166027929","35.62"
"2018","대구","2711000","대구중구","91023456089","210729323051","43.19"
"2018","대구","2712000","대구동구","338786683174","554450126719","61.10"
"2018","대구","2713000","대구서구","192960789940","333842949477","57.80"
"2018","대구","2714000","대구남구","180799798960","304384510477","59.40"
"2018","대구","2715000","대구북구","328432974271","538536964481","60.99"
"2018","대구","2716000","대구수성구","304725547262","534927928451","56.97"
"2018","대구","2717000","대구달서구","419121420196","667629694653","62.78"
"2018","대구","2771000","대구달성군","216993805935","680776671743","31.87"
"2018","인천","2800000","인천본청","2426868521858","6493525058427","37.37"
"2018","인천","2811000","인천중구","109084056937","307209282260","35.51"
"2018","인천","2812000","인천동구","84598264208","190488068046","44.41"
"2018","인천","2813000","인천미추홀구","355375742375","588047542324","60.43"
"2018","인천","2814000","인천연수구","235883874367","446379229437","52.84"
"2018","인천","2815000","인천남동구","409618327435","669893466770","61.15"
"2018","인천","2816000","인천부평구","426076741998","665579542714","64.02"
"2018","인천","2817000","인천계양구","236856608720","423992232706","55.86"
"2018","인천","2818000","인천서구","364284810325","671553000001","54.25"
"2018","인천","2871000","인천강화군","96529097444","442843539480","21.80"
"2018","인천","2872000","인천옹진군","41294966720","279511214780","14.77"
"2018","광주","2900000","광주본청","1432708521197","3790743059803","37.79"
"2018","광주","2911000","광주동구","130657291740","251941759460","51.86"
"2018","광주","2912000","광주서구","253368671860","430331919363","58.88"
"2018","광주","2913000","광주남구","212032369342","369689038700","57.35"
"2018","광주","2914000","광주북구","403080349430","621800894644","64.82"
"2018","광주","2915000","광주광산구","335058732826","568447794856","58.94"
"2018","대전","3000000","대전본청","1327487029630","3649376097729","36.38"
"2018","대전","3011000","대전동구","250065835668","421006659017","59.40"
"2018","대전","3012000","대전중구","223517237750","394463958869","56.66"
"2018","대전","3013000","대전서구","341860844184","576887263651","59.26"
"2018","대전","3014000","대전유성구","223138299620","443440653510","50.32"
"2018","대전","3015000","대전대덕구","181983847389","353683803583","51.45"
"2018","울산","3100000","울산본청","827509919309","3000368434033","27.58"
"2018","울산","3111000","울산중구","163302850915","336144214970","48.58"
"2018","울산","3112000","울산남구","208040706604","431344104487","48.23"
"2018","울산","3113000","울산동구","128203213368","258167104091","49.66"
"2018","울산","3114000","울산북구","142994609523","354551923311","40.33"
"2018","울산","3171000","울산울주군","200762033980","791612416410","25.36"
"2018","세종","3200000","세종본청","258717928868","1172536130494","22.06"
"2018","경기","4100000","경기본청","6891019043050","20328092789810","33.90"
"2018","경기","4111000","경기수원시","814008855700","2113739488230","38.51"
"2018","경기","4112000","경기성남시","746794189107","2110721933200","35.38"
