"회계연도","지역명","자치단체코드","자치단체명","사회복지분야 결산액","세출결산액","사회복지비비율(%)"
"2016","서울","1100000","서울본청","6555928350843","20683816825500","31.70"
"2016","서울","1111000","서울종로구","104798164470","322390622300","32.51"
"2016","서울","1112000","서울중구","102824188892","320498552207","32.08"
"2016","서울","1113000","서울용산구","131713970766","306842788699","42.93"
"2016","서울","1114000","서울성동구","169934655560","379633976240","44.76"
"2016","서울","1115000","서울광진구","175005882784","391349103875","44.72"
"2016","서울","1116000","서울동대문구","228316751834","439807798689","51.91"
"2016","서울","1117000","서울중랑구","262701473520","468773116217","56.04"
"2016","서울","1118000","서울성북구","279504513977","532950470552","52.44"
"2016","서울","1119000","서울강북구","249483933594","460513072008","54.18"
"2016","서울","1120000","서울도봉구","227038122827","419877153003","54.07"
"2016","서울","1121000","서울노원구","397619258430","676837463750","58.75"
"2016","서울","1122000","서울은평구","315363139910","536081609452","58.83"
"2016","서울","1123000","서울서대문구","178210653690","388644223494","45.85"
"2016","서울","1124000","서울마포구","217577771026","441531557010","49.28"
"2016","서울","1125000","서울양천구","255380026170","486505402160","52.49"
"2016","서울","1126000","서울강서구","375428959510","625470578100","60.02"
"2016","서울","1127000","서울구로구","260133618210","487961665160","53.31"
"2016","서울","1128000","서울금천구","174057636300","343195519890","50.72"
"2016","서울","1129000","서울영등포구","215241608538","437068309412","49.25"
"2016","서울","1130000","서울동작구","218519176141","437090923185","49.99"
"2016","서울","1131000","서울관악구","287471414778","513877473914","55.94"
"2016","서울","1132000","서울서초구","195267186090","438477136054","44.53"
"2016","서울","1133000","서울강남구","263973004468","612349976897","43.11"
"2016","서울","1134000","서울송파구","280656552534","556096616673","50.47"
"2016","서울","1135000","서울강동구","243455011060","478338852302","50.90"
"2016","부산","2600000","부산본청","2742790483260","7992880522040","34.32"
"2016","부산","2611000","부산중구","47177500160","128996087420","36.57"
"2016","부산","2612000","부산서구","122305029950","233176251860","52.45"
"2016","부산","2613000","부산동구","106184902280","213678809690","49.69"
"2016","부산","2614000","부산영도구","130655921850","236842873310","55.17"
"2016","부산","2615000","부산부산진구","260007380710","422833796940","61.49"
"2016","부산","2616000","부산동래구","158477406220","297033795130","53.35"
"2016","부산","2617000","부산남구","186953724920","317368319830","58.91"
"2016","부산","2618000","부산북구","231514107450","361452207660","64.05"
"2016","부산","2619000","부산해운대구","277468213280","457883648960","60.60"
"2016","부산","2620000","부산사하구","254242457580","410735131660","61.90"
"2016","부산","2621000","부산금정구","167618759910","304629354520","55.02"
"2016","부산","2622000","부산강서구","80779216724","248287958886","32.53"
"2016","부산","2623000","부산연제구","148536566260","251290333820","59.11"
"2016","부산","2624000","부산수영구","119175520350","227125186810","52.47"
"2016","부산","2625000","부산사상구","175665989800","316622659620","55.48"
"2016","부산","2671000","부산기장군","143059517190","411200834097","34.79"
"2016","대구","2700000","대구본청","1788365890633","5309275834644","33.68"
"2016","대구","2711000","대구중구","78789687677","195217693612","40.36"
"2016","대구","2712000","대구동구","290139426835","480183189610","60.42"
"2016","대구","2713000","대구서구","165539579510","288429028920","57.39"
"2016","대구","2714000","대구남구","156230356530","268310448511","58.23"
"2016","대구","2715000","대구북구","286105117632","486673461114","58.79"
"2016","대구","2716000","대구수성구","271812256872","479376984978","56.70"
"2016","대구","2717000","대구달서구","362218310015","593883542627","60.99"
"2016","대구","2771000","대구달성군","162187493101","526029000222","30.83"
"2016","인천","2800000","인천본청","1979996331150","6094511710399","32.49"
"2016","인천","2811000","인천중구","89818234886","278330829781","32.27"
"2016","인천","2812000","인천동구","72120703069","162971760311","44.25"
"2016","인천","2813000","인천남구","293289262612","496249950253","59.10"
"2016","인천","2814000","인천연수구","192091700351","348828537083","55.07"
"2016","인천","2815000","인천남동구","333508997966","559381613447","59.62"
"2016","인천","2816000","인천부평구","363617399277","576178678776","63.11"
"2016","인천","2817000","인천계양구","195964540922","353678015291","55.41"
"2016","인천","2818000","인천서구","284445289348","533879566245","53.28"
"2016","인천","2871000","인천강화군","78450461661","393294827548","19.95"
"2016","인천","2872000","인천옹진군","37200727190","284386488880","13.08"
"2016","광주","2900000","광주본청","1258529106349","3360039332339","37.46"
"2016","광주","2911000","광주동구","118392727650","222667845770","53.17"
"2016","광주","2912000","광주서구","216268941836","365207833133","59.22"
"2016","광주","2913000","광주남구","185391983129","329363241658","56.29"
"2016","광주","2914000","광주북구","345132892800","525860253281","65.63"
"2016","광주","2915000","광주광산구","299325715593","509495266090","58.75"
"2016","대전","3000000","대전본청","1067473223124","2947717596777","36.21"
"2016","대전","3011000","대전동구","226196433740","374751177725","60.36"
"2016","대전","3012000","대전중구","198166102820","347282528078","57.06"
"2016","대전","3013000","대전서구","295654790478","512765401513","57.66"
"2016","대전","3014000","대전유성구","195801941925","424414713135","46.13"
"2016","대전","3015000","대전대덕구","163460202621","314981089120","51.90"
"2016","울산","3100000","울산본청","677086626350","2596830064035","26.07"
"2016","울산","3111000","울산중구","136731853767","276260321443","49.49"
"2016","울산","3112000","울산남구","171453809341","365301755802","46.93"
"2016","울산","3113000","울산동구","107086146452","222469895726","48.14"
"2016","울산","3114000","울산북구","115284769060","264391970398","43.60"
"2016","울산","3171000","울산울주군","173030144080","636733036700","27.17"
"2016","세종","3200000","세종본청","176299627631","1015745286270","17.36"
"2016","경기","4100000","경기본청","5688774285010","17642776858194","32.24"
"2016","경기","4111000","경기수원시","672876519150","1873215294059","35.92"
"2016","경기","4112000","경기성남시","634654675935","1729945356159","36.69"
"2016","경기","4120000","경기고양시","595034979210","1370473392070","43.42"
"2016","경기","4129000","경기용인시","521168202200","1783218760092","29.23"
"2016","경기","4115000","경기부천시","507841114980","1297698549724","39.13"
"2016","경기","4119000","경기안산시","459470151525","1143977543285","40.16"
"2016","경기","4114000","경기안양시","342923256975","956749595047","35.84"
"2016","경기","4123000","경기남양주시","419004863860","1007642310566","41.58"
"2016","경기","4134000","경기화성시","420415068912","1573915746321","26.71"
"2016","경기","4117000","경기평택시","309666132251","1054496204007","29.37"
"2016","경기","4113000","경기의정부시","307484193559","871973467869","35.26"
"2016","경기","4125000","경기시흥시","255083374727","695799946697","36.66"
"2016","경기","4130000","경기파주시","288579131410","808386750890","35.70"
"2016","경기","4116000","경기광명시","229774762300","535000591700","42.95"
"2016","경기","4133000","경기김포시","225105367560","662827107420","33.96"
"2016","경기","4126000","경기군포시","175280690288","434317802525","40.36"
"2016","경기","4135000","경기광주시","213676177577","596950516162","35.79"
"2016","경기","4131000","경기이천시","169711015913","549587475534","30.88"
"2016","경기","4136000","경기양주시","153660296924","533882534510","28.78"
"2016","경기","4124000","경기오산시","153802532593","387294076338","39.71"
"2016","경기","4122000","경기구리시","122546145310","334465289560","36.64"
"2016","경기","4132000","경기안성시","163058347510","504035993120","32.35"
"2016","경기","4137000","경기포천시","140626994190","565659234531","24.86"
"2016","경기","4127000","경기의왕시","103596818650","310015164998","33.42"
"2016","경기","4128000","경기하남시","120595525340","356504752140","33.83"
"2016","경기","4138000","경기여주시","115316952544","463471693512","24.88"
"2016","경기","4118000","경기동두천시","109786501730","291990093540","37.60"
"2016","경기","4121000","경기과천시","49031106960","220504061614","22.24"
"2016","경기","4178000","경기양평군","115508688330","452784024120","25.51"
"2016","경기","4177000","경기가평군","93366119570","314717846239","29.67"
"2016","경기","4175000","경기연천군","56257292041","345943481728","16.26"
"2016","강원","4200000","강원본청","1109451155900","5249894191142","21.13"
"2016","강원","4211000","강원춘천시","250504828500","783323389060","31.98"
"2016","강원","4212000","강원원주시","274138557720","837621165990","32.73"
"2016","강원","4213000","강원강릉시","199174079762","712328327525","27.96"
"2016","강원","4214000","강원동해시","90128216227","291602569396","30.91"
"2016","강원","4215000","강원태백시","59096152266","325856924539","18.14"
"2016","강원","4216000","강원속초시","88229347146","253344478198","34.83"
"2016","강원","4217000","강원삼척시","81330173671","457666707116","17.77"
"2016","강원","4271000","강원홍천군","79982280140","433052820184","18.47"
"2016","강원","4272000","강원횡성군","57955678298","325719558483","17.79"
"2016","강원","4273000","강원영월군","59451281185","328659121107","18.09"
"2016","강원","4274000","강원평창군","50683096243","354337211637","14.30"
"2016","강원","4275000","강원정선군","65334713488","365301068578","17.89"
"2016","강원","4276000","강원철원군","50806288207","329559595086","15.42"
"2016","강원","4277000","강원화천군","42459902770","240736932727","17.64"
"2016","강원","4278000","강원양구군","32944462964","211450980773","15.58"
"2016","강원","4279000","강원인제군","42564985177","295781453035","14.39"
"2016","강원","4280000","강원고성군","40664721800","278197777748","14.62"
"2016","강원","4281000","강원양양군","39323953548","235573546644","16.69"
"2016","충북","4300000","충북본청","1156618869030","3750311742970","30.84"
"2016","충북","4314000","충북청주시","615533918759","1827978756070","33.67"
"2016","충북","4312000","충북충주시","195440566260","688712358280","28.38"
"2016","충북","4313000","충북제천시","140633742050","548819634400","25.62"
"2016","충북","4372000","충북보은군","46937671510","296483199460","15.83"
"2016","충북","4373000","충북옥천군","67180641480","329100549560","20.41"
"2016","충북","4374000","충북영동군","63936445080","391846369000","16.32"
"2016","충북","4379000","충북증평군","35959189890","171762437150","20.94"
"2016","충북","4375000","충북진천군","67807381190","331385565520","20.46"
"2016","충북","4376000","충북괴산군","55194399810","332153298720","16.62"
"2016","충북","4377000","충북음성군","113821362770","416492253500","27.33"
"2016","충북","4378000","충북단양군","47038495130","254001056530","18.52"
"2016","충남","4400000","충남본청","1324525798080","5040330984354","26.28"
"2016","충남","4411000","충남천안시","394027757150","1135596674915","34.70"
"2016","충남","4412000","충남공주시","126572181060","557025302440","22.72"
"2016","충남","4413000","충남보령시","119325401955","526893947779","22.65"
"2016","충남","4414000","충남아산시","249978951985","915308392986","27.31"
"2016","충남","4415000","충남서산시","156766438808","641983734967","24.42"
"2016","충남","4416000","충남논산시","148944650550","554035327020","26.88"
"2016","충남","4417000","충남계룡시","29664043778","134670297008","22.03"
"2016","충남","4418000","충남당진시","139084252300","652958202370","21.30"
"2016","충남","4471000","충남금산군","71468267855","323872933076","22.07"
"2016","충남","4473000","충남부여군","97401291550","475401459890","20.49"
"2016","충남","4474000","충남서천군","87978815570","372821267888","23.60"
"2016","충남","4475000","충남청양군","46318461777","297352057238","15.58"
"2016","충남","4476000","충남홍성군","102228117074","485499844722","21.06"
"2016","충남","4477000","충남예산군","90132763369","502773060926","17.93"
"2016","충남","4478000","충남태안군","71744951120","390689970558","18.36"
"2016","전북","4500000","전북본청","1531423591970","4901575835697","31.24"
"2016","전북","4511000","전북전주시","469524721493","1163246527049","40.36"
"2016","전북","4512000","전북군산시","262806734672","774806363578","33.92"
"2016","전북","4513000","전북익산시","303126281179","884713515380","34.26"
