,,,"단위 : 백만원, %"
자치단체,"채무잔액
(A)","최종예산액
(B)","예산대비채무 비율 
경북문경시,"45,059","561,758",8.02
경북경산시,"46,108","807,000",5.71
경북군위군,"13,032","279,133",4.67
경북의성군,0,"568,201",.0
경북청송군,"8,800","301,436",2.92
경북영양군,"5,400","254,466",2.12
경북영덕군,"14,633","372,378",3.93
경북청도군,0,"364,542",.0
경북고령군,"1,000","298,745",.33
경북성주군,"22,199","441,716",5.03
경북칠곡군,"21,629","478,642",4.52
경북예천군,"25,600","405,689",6.31
경북봉화군,0,"353,582",.0
경북울진군,"10,840","781,536",1.39
경북울릉군,"9,320","157,433",5.92
경남본청,"649,781","9,005,161",7.22
경남창원시,"271,086","2,883,276",9.40
경남진주시,"127,678","1,257,656",10.15
경남통영시,"32,000","557,984",5.73
경남사천시,"47,409","535,394",8.85
경남김해시,"123,312","1,338,220",9.21
경남밀양시,"1,748","608,862",.29
경남거제시,"55,138","735,516",7.50
경남양산시,"75,640","902,723",8.38
경남의령군,373,"409,596",.09
경남함안군,"3,074","401,444",.77
경남창녕군,606,"445,450",.14
경남고성군,"8,318","408,874",2.03
경남남해군,"4,983","390,443",1.28
경남하동군,0,"417,049",.0
경남산청군,192,"385,992",.05
경남함양군,0,"371,915",.0
경남거창군,0,"502,920",.0
경남합천군,0,"515,167",.0
제주본청,"573,533","4,786,101",11.98
