iter	Passed	Remaining
440	1306	1655
441	1308	1652
442	1311	1649
443	1314	1646
444	1317	1643
445	1320	1639
446	1322	1636
447	1325	1633
448	1328	1630
449	1331	1627
450	1334	1624
451	1337	1621
452	1339	1618
453	1342	1614
454	1345	1611
455	1348	1608
456	1351	1605
457	1353	1602
458	1356	1599
459	1359	1596
460	1362	1593
461	1365	1590
462	1368	1586
463	1371	1584
464	1374	1580
465	1377	1577
466	1379	1574
467	1382	1571
468	1385	1568
469	1388	1565
470	1391	1562
471	1393	1559
472	1396	1555
473	1399	1553
474	1402	1550
475	1405	1547
476	1408	1544
477	1411	1541
478	1414	1538
479	1417	1535
480	1420	1532
481	1423	1529
482	1426	1526
483	1428	1523
484	1431	1520
485	1434	1516
486	1437	1513
487	1439	1510
488	1442	1507
489	1445	1504
490	1448	1501
491	1451	1498
492	1453	1495
493	1456	1492
494	1459	1489
495	1462	1486
496	1466	1484
497	1469	1480
498	1472	1478
499	1474	1474
500	1477	1471
501	1480	1468
502	1483	1465
503	1486	1463
504	1489	1460
505	1492	1457
506	1495	1454
507	1498	1451
508	1501	1447
509	1503	1444
510	1506	1441
511	1509	1438
512	1512	1435
513	1515	1432
514	1517	1429
515	1520	1426
516	1523	1422
517	1525	1419
518	1528	1416
519	1531	1413
520	1534	1410
521	1536	1407
522	1539	1404
523	1542	1401
524	1545	1398
525	1548	1395
526	1551	1392
527	1554	1389
528	1556	1386
529	1559	1383
530	1562	1380
531	1565	1377
532	1568	1374
533	1571	1371
534	1574	1368
535	1576	1365
536	1579	1362
537	1582	1359
538	1585	1356
539	1588	1353
540	1591	1350
541	1594	1347
542	1596	1343
543	1599	1340
544	1602	1337
545	1605	1335
546	1608	1331
547	1611	1328
548	1613	1325
549	1616	1322
550	1619	1319
551	1622	1316
552	1625	1313
553	1628	1310
554	1630	1307
555	1633	1304
556	1636	1301
557	1639	1298
558	1642	1295
559	1644	1292
560	1647	1289
561	1650	1286
562	1652	1283
563	1655	1279
564	1658	1276
565	1661	1273
566	1664	1270
567	1667	1268
568	1669	1264
569	1672	1261
570	1675	1258
571	1678	1255
572	1681	1252
573	1684	1249
574	1687	1246
575	1689	1243
576	1692	1240
577	1695	1237
578	1698	1234
579	1701	1231
580	1703	1228
581	1706	1225
582	1709	1222
583	1712	1219
584	1715	1216
585	1717	1213
586	1720	1210
587	1723	1207
588	1726	1204
589	1729	1201
590	1731	1198
591	1734	1195
592	1737	1192
593	1740	1189
594	1743	1186
595	1745	1183
596	1748	1180
597	1751	1177
598	1754	1174
599	1757	1171
600	1759	1168
601	1762	1165
602	1765	1162
603	1768	1159
604	1770	1156
605	1773	1153
606	1776	1150
607	1779	1147
608	1782	1144
609	1785	1141
610	1788	1138
611	1791	1135
612	1794	1132
613	1796	1129
614	1799	1126
615	1802	1123
616	1805	1120
617	1807	1117
618	1810	1114
619	1813	1111
620	1816	1108
621	1819	1105
622	1822	1102
623	1824	1099
624	1827	1096
625	1830	1093
626	1833	1090
627	1835	1087
628	1838	1084
629	1841	1081
630	1844	1078
631	1847	1075
632	1850	1072
633	1853	1069
634	1855	1066
635	1858	1063
636	1861	1060
637	1864	1057
638	1867	1054
639	1870	1051
640	1872	1048
641	1875	1046
642	1878	1043
643	1881	1040
644	1884	1037
645	1887	1034
646	1890	1031
647	1893	1028
648	1895	1025
649	1898	1022
650	1901	1019
651	1904	1016
652	1906	1013
653	1909	1010
654	1912	1007
655	1915	1004
656	1918	1001
657	1921	998
658	1923	995
659	1926	992
660	1929	989
661	1932	986
662	1935	983
663	1938	980
664	1941	977
665	1943	974
666	1946	971
667	1949	968
668	1952	965
669	1955	962
670	1957	959
671	1960	956
672	1963	953
673	1966	951
674	1969	948
675	1971	945
676	1974	942
677	1977	939
678	1980	936
679	1983	933
680	1986	930
681	1989	927
682	1992	924
683	1994	921
684	1997	918
685	2000	915
686	2003	912
687	2006	909
688	2009	906
689	2012	903
690	2015	901
691	2017	898
692	2020	895
693	2023	892
694	2026	889
695	2028	886
696	2031	883
697	2034	880
698	2037	877
699	2040	874
700	2043	871
701	2045	868
702	2048	865
703	2051	862
704	2054	859
705	2056	856
706	2059	853
707	2062	850
708	2065	847
709	2067	844
710	2070	841
711	2073	838
712	2076	835
713	2078	832
714	2081	829
715	2084	826
716	2087	823
717	2090	821
718	2093	818
719	2095	815
720	2098	812
721	2101	809
722	2104	806
723	2106	803
724	2109	800
725	2112	797
726	2115	794
727	2118	791
728	2120	788
729	2123	785
730	2126	782
731	2129	779
732	2132	776
733	2135	773
734	2138	770
735	2140	767
736	2143	765
737	2146	762
738	2149	759
739	2151	756
740	2154	753
741	2157	750
742	2160	747
743	2163	744
744	2166	741
745	2169	738
746	2171	735
747	2174	732
748	2177	729
749	2180	726
750	2183	723
751	2186	721
752	2189	718
753	2192	715
754	2194	712
755	2197	709
756	2200	706
757	2203	703
758	2206	700
759	2209	697
760	2212	694
761	2214	691
762	2217	688
763	2220	685
764	2223	683
765	2226	680
766	2228	677
767	2231	674
768	2234	671
769	2237	668
770	2240	665
771	2242	662
772	2245	659
773	2248	656
774	2250	653
775	2253	650
776	2256	647
777	2259	644
778	2262	641
779	2271	640
780	2274	637
781	2276	634
782	2279	631
783	2282	628
784	2285	625
785	2288	622
786	2291	620
787	2294	617
788	2297	614
789	2299	611
790	2302	608
791	2305	605
792	2308	602
793	2310	599
794	2313	596
795	2316	593
796	2319	590
797	2322	587
798	2325	584
799	2327	581
800	2330	579
801	2333	576
802	2336	573
803	2339	570
804	2342	567
805	2345	564
806	2347	561
807	2350	558
808	2353	555
809	2356	552
810	2373	553
811	2375	550
812	2378	547
813	2381	544
814	2384	541
815	2387	538
816	2390	535
817	2393	532
818	2395	529
819	2398	526
820	2401	523
821	2404	520
822	2407	517
823	2409	514
824	2412	511
825	2415	508
826	2418	505
827	2421	502
828	2423	499
829	2426	497
830	2429	494
831	2446	494
832	2449	491
833	2452	488
834	2454	485
835	2457	482
836	2460	479
837	2463	476
838	2466	473
839	2469	470
840	2471	467
841	2474	464
842	2477	461
843	2480	458
844	2483	455
845	2485	452
846	2488	449
847	2491	446
848	2495	443
849	2497	440
850	2500	437
851	2503	434
852	2506	431
853	2509	428
854	2511	426
855	2514	423
856	2517	420
857	2520	417
858	2523	414
859	2526	411
860	2529	408
861	2531	405
862	2534	402
863	2537	399
864	2540	396
865	2543	393
866	2546	390
867	2548	387
868	2551	384
869	2554	381
870	2557	378
871	2560	375
872	2563	372
873	2565	369
874	2568	366
875	2571	363
876	2574	361
877	2576	358
878	2579	355
879	2582	352
880	2585	349
881	2588	346
882	2591	343
883	2594	340
884	2596	337
885	2599	334
886	2602	331
887	2605	328
888	2608	325
889	2610	322
890	2613	319
891	2616	316
892	2619	313
893	2622	310
894	2624	307
895	2627	304
896	2630	302
897	2633	299
898	2636	296
899	2638	293
900	2641	290
901	2644	287
902	2647	284
903	2649	281
904	2652	278
905	2655	275
906	2658	272
907	2661	269
908	2663	266
909	2666	263
910	2669	260
911	2672	257
912	2675	254
913	2677	251
914	2680	249
915	2683	246
916	2686	243
917	2689	240
918	2692	237
919	2695	234
920	2698	231
921	2700	228
922	2703	225
923	2706	222
924	2709	219
925	2712	216
926	2715	213
927	2717	210
928	2720	207
929	2723	204
930	2726	202
931	2728	199
932	2731	196
933	2734	193
934	2737	190
935	2739	187
936	2742	184
937	2745	181
938	2748	178
939	2751	175
940	2753	172
941	2756	169
942	2759	166
943	2762	163
944	2765	160
945	2768	158
946	2770	155
947	2773	152
948	2776	149
949	2779	146
950	2782	143
951	2785	140
952	2788	137
953	2790	134
954	2793	131
955	2796	128
956	2799	125
957	2802	122
958	2804	119
959	2807	116
960	2810	114
961	2813	111
962	2816	108
963	2818	105
964	2821	102
965	2824	99
966	2827	96
967	2830	93
968	2833	90
969	2835	87
970	2838	84
971	2841	81
972	2844	78
973	2846	75
974	2849	73
975	2852	70
976	2855	67
977	2858	64
978	2860	61
979	2863	58
980	2866	55
981	2869	52
982	2872	49
983	2874	46
984	2877	43
985	2880	40
986	2883	37
987	2886	35
988	2889	32
989	2892	29
990	2895	26
991	2897	23
992	2900	20
993	2903	17
994	2906	14
995	2909	11
996	2911	8
997	2914	5
998	2917	2
999	2920	0
